Material,Acrylic
Geometry,Circular
Length,"2.00000",in
Diameter,"0.062700",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.24779","8.02665"
"0.10000","0.24786","8.17856"
"0.20000","0.24804","9.55771"
"0.30000","0.24820","10.82310"
"0.40000","0.24832","11.81091"
"0.50000","0.24847","12.95863"
"0.60000","0.24858","13.94611"
"0.70000","0.24872","14.88882"
"0.80000","0.24887","16.20351"
"0.90000","0.24899","17.15586"
"1.00000","0.24912","18.23105"
"1.10000","0.24925","19.25684"
"1.20000","0.24940","20.36844"
"1.30000","0.24952","21.52189"
"1.40000","0.24966","22.55810"
"1.50000","0.24980","23.80793"
"1.60000","0.24991","24.69042"
"1.70000","0.25007","25.97429"
"1.80000","0.25020","27.19875"
"1.90000","0.25032","28.19801"
"2.00000","0.25045","29.41156"
"2.10000","0.25058","30.46999"
"2.20000","0.25073","31.82603"
"2.30000","0.25085","32.94480"
"2.40000","0.25100","34.22453"
"2.50000","0.25112","35.41941"
"2.60000","0.25124","36.48338"
"2.70000","0.25141","38.04334"
"2.80000","0.25152","39.16451"
"2.90000","0.25166","40.38735"
"3.00000","0.25178","41.64516"
"3.10000","0.25192","42.93205"
"3.20000","0.25206","44.41638"
"3.30000","0.25219","45.58524"
"3.40000","0.25233","47.07938"
"3.50000","0.25244","48.23692"
"3.60000","0.25259","49.59339"
"3.70000","0.25273","51.24931"
"3.80000","0.25285","52.35901"
"3.90000","0.25299","53.82100"
"4.00000","0.25311","55.06627"
"4.10000","0.25327","56.64975"
"4.20000","0.25339","58.03871"
"4.30000","0.25353","59.38027"
"4.40000","0.25366","60.76197"
"4.50000","0.25377","61.86554"
"4.60000","0.25394","63.61856"
"4.70000","0.25406","65.06747"
"4.80000","0.25419","66.35740"
"4.90000","0.25432","67.88870"
"5.00000","0.25445","69.22030"
"5.10000","0.25460","70.95252"
"5.20000","0.25472","72.20934"
"5.30000","0.25487","73.85567"
"5.40000","0.25498","75.21284"
"5.50000","0.25512","76.51364"
"5.60000","0.25527","78.46299"
"5.70000","0.25539","79.65792"
"5.80000","0.25553","81.23089"
"5.90000","0.25565","82.63385"
"6.00000","0.25580","84.26087"
"6.10000","0.25593","85.85417"
"6.20000","0.25606","87.23622"
"6.30000","0.25620","88.94078"
"6.40000","0.25631","90.09763"
"6.50000","0.25647","91.85932"
"6.60000","0.25660","93.50016"
"6.70000","0.25672","94.77778"
"6.80000","0.25686","96.44725"
"6.90000","0.25699","97.76292"
"7.00000","0.25713","99.59492"
"7.10000","0.25725","100.91336"
"7.20000","0.25740","102.48213"
"7.30000","0.25752","103.97533"
"7.40000","0.25764","105.17817"
"7.50000","0.25781","107.18242"
"7.60000","0.25792","108.42223"
"7.70000","0.25806","109.89453"
"7.80000","0.25818","111.33832"
"7.90000","0.25833","112.79644"
"8.00000","0.25846","114.40325"
"8.10000","0.25859","115.61676"
"8.20000","0.25873","117.16230"
"8.30000","0.25884","118.21420"
"8.40000","0.25899","119.59881"
"8.50000","0.25914","121.28015"
"8.60000","0.25925","122.12916"
"8.70000","0.25939","123.34983"
"8.80000","0.25951","124.12002"
"8.90000","0.25967","125.28726"
"9.00000","0.25979","126.02465"
"9.10000","0.25993","126.60620"
"9.20000","0.26006","127.10635"
"9.30000","0.26018","126.93758"
"9.40000","0.26034","127.38336"
"9.50000","0.26046","127.60481"
"9.60000","0.26059","128.23397"
"9.70000","0.26072","129.25886"
"9.80000","0.26085","130.23721"
"9.90000","0.26100","131.63314"
"10.00000","0.26112","132.45443"
"10.10000","0.26127","133.65891"
"10.20000","0.26138","134.53618"
"10.30000","0.26152","135.48724"
"10.40000","0.26167","137.07656"
"10.50000","0.26179","138.01180"
"10.60000","0.26192","139.28966"
"10.70000","0.26204","140.47092"
"10.80000","0.26220","141.95429"
"10.90000","0.26233","143.26078"
"11.00000","0.26246","144.32808"
"11.10000","0.26260","145.78118"
"11.20000","0.26271","146.65340"
"11.30000","0.26286","148.17326"
"11.40000","0.26300","149.58307"
"11.50000","0.26312","150.52659"
"11.60000","0.26325","151.91621"
"11.70000","0.26338","152.98235"
"11.80000","0.26353","154.66145"
"11.90000","0.26365","155.79354"
"12.00000","0.26380","157.23270"
"12.10000","0.26392","158.61255"
"12.20000","0.26404","159.70627"
"12.30000","0.26421","161.64883"
"12.40000","0.26432","162.88046"
"12.50000","0.26446","164.32893"
"12.60000","0.26458","165.72840"
"12.70000","0.26473","167.26768"
"12.80000","0.26486","168.99760"
"12.90000","0.26499","170.22732"
"13.00000","0.26514","172.05103"
"13.10000","0.26525","173.19796"
"13.20000","0.26539","174.75628"
"13.30000","0.26553","176.67638"
"13.40000","0.26565","177.95827"
"13.50000","0.26579","179.62841"
"13.60000","0.26591","181.01225"
"13.70000","0.26606","182.86015"
"13.80000","0.26619","184.41640"
"13.90000","0.26633","185.95949"
"14.00000","0.26646","187.76221"
"14.10000","0.26658","188.95843"
"14.20000","0.26674","190.99361"
"14.30000","0.26686","192.70671"
"14.40000","0.26699","194.15612"
"14.50000","0.26712","195.85912"
"14.60000","0.26725","197.36776"
"14.70000","0.26740","199.46032"
"14.80000","0.26752","200.86222"
"14.90000","0.26767","202.76256"
"15.00000","0.26778","204.24818"
