Material,Steel
Geometry,Circular
Length,"2.00000",in
Diameter,"0.06200",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.02234","4.89625"
"0.10000","0.02234","4.89301"
"0.20000","0.02235","4.89256"
"0.30000","0.02242","5.21438"
"0.40000","0.02248","5.80300"
"0.50000","0.02251","6.07862"
"0.60000","0.02253","6.28669"
"0.70000","0.02257","6.56149"
"0.80000","0.02261","6.83008"
"0.90000","0.02264","7.09642"
"1.00000","0.02268","7.37067"
"1.10000","0.02271","7.65123"
"1.20000","0.02274","7.90478"
"1.30000","0.02278","8.15034"
"1.40000","0.02281","8.41367"
"1.50000","0.02284","8.66646"
"1.60000","0.02287","8.91747"
"1.70000","0.02290","9.16704"
"1.80000","0.02294","9.44872"
"1.90000","0.02298","9.73807"
"2.00000","0.02301","10.03036"
"2.10000","0.02305","10.29675"
"2.20000","0.02308","10.54212"
"2.30000","0.02311","10.79659"
"2.40000","0.02314","11.05879"
"2.50000","0.02317","11.29734"
"2.60000","0.02320","11.52417"
"2.70000","0.02324","11.80693"
"2.80000","0.02327","12.08842"
"2.90000","0.02330","12.37022"
"3.00000","0.02334","12.68137"
"3.10000","0.02338","12.98561"
"3.20000","0.02341","13.25008"
"3.30000","0.02345","13.53234"
"3.40000","0.02348","13.79197"
"3.50000","0.02351","14.05977"
"3.60000","0.02354","14.33120"
"3.70000","0.02357","14.58244"
"3.80000","0.02360","14.85097"
"3.90000","0.02364","15.13485"
"4.00000","0.02367","15.41437"
"4.10000","0.02371","15.71110"
"4.20000","0.02374","16.00606"
"4.30000","0.02377","16.26339"
"4.40000","0.02380","16.52795"
"4.50000","0.02384","16.79455"
"4.60000","0.02387","17.06943"
"4.70000","0.02391","17.37317"
"4.80000","0.02394","17.66500"
"4.90000","0.02398","17.98764"
"5.00000","0.02401","18.29533"
"5.10000","0.02404","18.57687"
"5.20000","0.02408","18.85557"
"5.30000","0.02411","19.14300"
"5.40000","0.02414","19.40457"
"5.50000","0.02417","19.67288"
"5.60000","0.02421","19.95945"
"5.70000","0.02424","20.27017"
"5.80000","0.02428","20.59801"
"5.90000","0.02431","20.90845"
"6.00000","0.02434","21.17706"
"6.10000","0.02438","21.46567"
"6.20000","0.02441","21.73161"
"6.30000","0.02444","21.97910"
"6.40000","0.02447","22.23173"
"6.50000","0.02450","22.54158"
"6.60000","0.02453","22.82831"
"6.70000","0.02457","23.15039"
"6.80000","0.02461","23.48048"
"6.90000","0.02465","23.80724"
"7.00000","0.02468","24.10105"
"7.10000","0.02471","24.36802"
"7.20000","0.02474","24.66202"
"7.30000","0.02478","24.95053"
"7.40000","0.02481","25.22102"
"7.50000","0.02484","25.49709"
"7.60000","0.02487","25.76734"
"7.70000","0.02490","26.07285"
"7.80000","0.02494","26.36607"
"7.90000","0.02498","26.67647"
"8.00000","0.02501","26.97971"
"8.10000","0.02504","27.24302"
"8.20000","0.02507","27.51504"
"8.30000","0.02510","27.79406"
"8.40000","0.02514","28.07342"
"8.50000","0.02517","28.37995"
"8.60000","0.02521","28.68088"
"8.70000","0.02524","28.99488"
"8.80000","0.02528","29.32292"
"8.90000","0.02531","29.59853"
"9.00000","0.02534","29.89570"
"9.10000","0.02538","30.16759"
"9.20000","0.02541","30.45438"
"9.30000","0.02544","30.72339"
"9.40000","0.02547","30.98856"
"9.50000","0.02551","31.29065"
"9.60000","0.02554","31.61539"
"9.70000","0.02558","31.93854"
"9.80000","0.02561","32.19691"
"9.90000","0.02564","32.47950"
"10.00000","0.02567","32.74552"
"10.10000","0.02570","33.00811"
"10.20000","0.02573","33.24236"
"10.30000","0.02577","33.52355"
"10.40000","0.02580","33.81140"
"10.50000","0.02584","34.12922"
"10.60000","0.02587","34.42451"
"10.70000","0.02591","34.74961"
"10.80000","0.02595","35.08558"
"10.90000","0.02598","35.35210"
"11.00000","0.02601","35.61375"
"11.10000","0.02604","35.90702"
"11.20000","0.02607","36.17960"
"11.30000","0.02611","36.45905"
"11.40000","0.02614","36.73299"
"11.50000","0.02617","37.02246"
"11.60000","0.02621","37.33564"
"11.70000","0.02624","37.62598"
"11.80000","0.02627","37.92462"
"11.90000","0.02631","38.21707"
"12.00000","0.02634","38.49332"
"12.10000","0.02637","38.76081"
"12.20000","0.02640","39.04501"
"12.30000","0.02644","39.33929"
"12.40000","0.02647","39.64572"
"12.50000","0.02651","39.95179"
"12.60000","0.02654","40.27887"
"12.70000","0.02658","40.61013"
"12.80000","0.02661","40.88821"
"12.90000","0.02664","41.17581"
"13.00000","0.02668","41.45098"
"13.10000","0.02671","41.70561"
"13.20000","0.02674","41.98087"
"13.30000","0.02677","42.29836"
"13.40000","0.02681","42.63829"
"13.50000","0.02684","42.98545"
"13.60000","0.02688","43.28819"
"13.70000","0.02691","43.56954"
"13.80000","0.02694","43.86627"
"13.90000","0.02698","44.15021"
"14.00000","0.02701","44.40346"
"14.10000","0.02704","44.67307"
"14.20000","0.02707","44.96920"
"14.30000","0.02710","45.29691"
"14.40000","0.02714","45.62020"
"14.50000","0.02717","45.94976"
"14.60000","0.02721","46.31445"
"14.70000","0.02724","46.60719"
"14.80000","0.02728","46.90877"
"14.90000","0.02731","47.19294"
"15.00000","0.02734","47.49274"
"15.10000","0.02738","47.78436"
"15.20000","0.02741","48.06742"
"15.30000","0.02744","48.34019"
"15.40000","0.02747","48.66045"
"15.50000","0.02751","48.97252"
"15.60000","0.02754","49.27141"
"15.70000","0.02757","49.55412"
"15.80000","0.02760","49.84622"
"15.90000","0.02764","50.13260"
"16.00000","0.02767","50.42044"
"16.10000","0.02770","50.76388"
"16.20000","0.02774","51.08363"
"16.30000","0.02777","51.38881"
"16.40000","0.02781","51.71057"
"16.50000","0.02784","52.03776"
"16.60000","0.02788","52.34315"
"16.70000","0.02791","52.63276"
"16.80000","0.02794","52.91276"
"16.90000","0.02797","53.18860"
"17.00000","0.02800","53.44630"
"17.10000","0.02804","53.76176"
"17.20000","0.02807","54.09289"
"17.30000","0.02811","54.43210"
