Material,Copper
Geometry,Circular
Length,"2.00000",in
Diameter,"0.12900",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","38.05395"
"0.10000","0.00017","40.06238"
"0.14600","0.00034","45.75272"
"0.18900","0.00046","51.48301"
"0.23800","0.00060","57.15107"
"0.30100","0.00074","62.81060"
"0.36000","0.00092","68.43158"
"0.41200","0.00104","74.13810"
"0.48000","0.00122","79.80905"
"0.53900","0.00135","85.44930"
"0.60700","0.00153","91.08218"
"0.66800","0.00167","96.73321"
"0.73800","0.00185","102.35446"
"0.80700","0.00200","108.02299"
"0.87300","0.00220","113.73449"
"0.93200","0.00233","119.41765"
"1.00500","0.00253","125.06381"
"1.07400","0.00269","130.74628"
"1.14200","0.00287","136.45760"
"1.21600","0.00304","142.09892"
"1.28500","0.00321","147.75620"
"1.36200","0.00341","153.40742"
"1.41900","0.00356","159.07159"
"1.49900","0.00376","164.69485"
"1.56600","0.00392","170.37816"
"1.64300","0.00412","176.08092"
"1.71700","0.00430","181.75774"
"1.79000","0.00448","187.43771"
"1.87500","0.00469","193.12456"
"1.93300","0.00485","198.77830"
"2.01500","0.00506","204.42080"
"2.08400","0.00521","210.07458"
"2.16300","0.00542","215.71950"
"2.24400","0.00561","221.39498"
"2.31800","0.00579","227.05907"
"2.40100","0.00601","232.77024"
"2.46600","0.00617","238.44225"
"2.54700","0.00639","244.09084"
"2.63100","0.00658","249.71472"
"2.70300","0.00677","255.39411"
"2.78700","0.00697","261.05876"
"2.87200","0.00717","266.72198"
"2.94200","0.00737","272.42031"
"3.02700","0.00758","278.06218"
"3.09800","0.00775","283.70376"
"3.18400","0.00797","289.35990"
"3.26900","0.00817","295.00647"
"3.34800","0.00836","300.67595"
"3.43200","0.00860","306.37334"
"3.50700","0.00877","312.03377"
"3.58700","0.00899","317.67356"
"3.68000","0.00921","323.36856"
"3.76000","0.00940","329.02213"
"3.84300","0.00961","334.65059"
"3.93400","0.00985","340.27778"
"4.00300","0.01001","345.93406"
"4.09000","0.01025","351.56570"
"4.18400","0.01047","357.23499"
"4.26400","0.01066","362.87903"
"4.35100","0.01088","368.51449"
"4.44200","0.01112","374.14083"
"4.51800","0.01130","379.77016"
"4.60600","0.01153","385.44105"
"4.70200","0.01177","391.07922"
"4.78700","0.01197","396.70375"
"4.87600","0.01219","402.35281"
"4.96900","0.01244","408.00827"
"5.05300","0.01264","413.67273"
"5.13800","0.01285","419.33950"
"5.23500","0.01310","424.99965"
"5.33200","0.01333","430.65780"
"5.42400","0.01355","436.28766"
"5.50600","0.01379","441.97728"
"5.60400","0.01403","447.64921"
"5.70300","0.01426","453.29824"
"5.79000","0.01448","458.93463"
