Material,Nylon
Geometry,Circular
Length,"2.00000",in
Diameter,"0.26400",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","-2.19902"
"0.10000","0.00153","1.45222"
"0.17400","0.00292","7.11097"
"0.27400","0.00459","12.50889"
"0.37400","0.00627","17.40486"
"0.47400","0.00793","21.87753"
"0.57400","0.00960","25.97143"
"0.67400","0.01126","29.68547"
"0.77400","0.01292","33.10458"
"0.87400","0.01460","36.39485"
"0.97400","0.01627","39.44521"
"1.07400","0.01794","42.26903"
"1.17400","0.01960","44.88876"
"1.27400","0.02127","47.36971"
"1.37400","0.02294","49.66697"
"1.47400","0.02460","51.77191"
"1.57400","0.02626","53.73779"
"1.67400","0.02793","55.52316"
"1.77400","0.02960","57.22297"
"1.87400","0.03127","58.78191"
"1.97400","0.03293","60.09333"
"2.07400","0.03460","61.24497"
"2.17400","0.03627","62.52286"
"2.27400","0.03794","63.79272"
"2.37400","0.03959","65.05530"
"2.47400","0.04126","66.32116"
"2.57400","0.04294","67.55153"
"2.67400","0.04460","68.79457"
"2.77400","0.04626","70.08669"
"2.87400","0.04794","71.36597"
"2.97400","0.04960","72.65879"
"3.07400","0.05126","73.93331"
"3.17400","0.05294","75.20676"
"3.27400","0.05460","76.39201"
"3.37400","0.05627","77.56515"
"3.47400","0.05794","78.70803"
"3.57400","0.05959","79.90646"
"3.67400","0.06126","81.11087"
"3.77400","0.06294","82.33833"
"3.87400","0.06460","83.55582"
"3.97400","0.06627","84.73822"
"4.07400","0.06793","85.93327"
"4.17400","0.06961","87.13908"
"4.27400","0.07126","88.31595"
"4.37400","0.07293","89.50002"
"4.47400","0.07460","90.66776"
"4.57400","0.07627","91.85814"
"4.67400","0.07794","93.04631"
"4.77400","0.07959","94.21998"
"4.87400","0.08126","95.35703"
"4.97400","0.08294","96.53502"
"5.07400","0.08460","97.69942"
"5.17400","0.08626","98.80085"
"5.27400","0.08793","99.94878"
"5.37400","0.08960","101.07173"
"5.47400","0.09127","102.15981"
"5.57400","0.09293","103.24927"
"5.67400","0.09460","104.33185"
"5.77400","0.09626","105.40593"
"5.87400","0.09793","106.47970"
"5.97400","0.09960","107.53691"
"6.07400","0.10126","108.58183"
"6.17400","0.10294","109.60941"
"6.27400","0.10460","110.63592"
"6.37400","0.10626","111.64714"
"6.47400","0.10793","112.62512"
"6.57400","0.10960","113.64055"
"6.67400","0.11128","114.64702"
"6.77400","0.11293","115.60855"
"6.87400","0.11459","116.55408"
"6.97400","0.11627","117.52813"
"7.07400","0.11793","118.50188"
"7.17400","0.11960","119.42587"
"7.27400","0.12126","120.34278"
"7.37400","0.12293","121.27338"
"7.47400","0.12461","122.20827"
"7.57400","0.12627","123.07342"
"7.67400","0.12793","123.95380"
"7.77400","0.12960","124.86492"
"7.87400","0.13126","125.71532"
"7.97400","0.13294","126.56246"
"8.07400","0.13460","127.43448"
"8.17400","0.13626","128.28966"
"8.27400","0.13793","129.10994"
"8.37400","0.13960","129.93864"
"8.47400","0.14126","130.75229"
"8.57400","0.14293","131.58482"
"8.67400","0.14460","132.41652"
"8.77400","0.14627","133.16872"
"8.87400","0.14793","133.94232"
"8.97400","0.14960","134.74077"
"9.07400","0.15127","135.52401"
"9.17400","0.15294","136.27200"
"9.27400","0.15459","137.00272"
"9.37400","0.15627","137.75093"
"9.47400","0.15794","138.50225"
"9.57400","0.15960","139.21061"
"9.67400","0.16127","139.91875"
"9.77400","0.16293","140.61813"
"9.87400","0.16460","141.30841"
"9.97400","0.16627","142.01190"
"10.07400","0.16793","142.69660"
"10.17400","0.16960","143.37158"
"10.27400","0.17127","144.05245"
"10.37400","0.17293","144.68622"
"10.47400","0.17460","145.33686"
"10.57400","0.17626","146.00043"
"10.67400","0.17793","146.62550"
"10.77400","0.17960","147.24440"
"10.87400","0.18127","147.87643"
"10.97400","0.18293","148.50277"
"11.07400","0.18460","149.10389"
"11.17400","0.18627","149.69387"
"11.27400","0.18794","150.27719"
"11.37400","0.18960","150.76476"
"11.47400","0.19127","151.36175"
"11.57400","0.19294","151.95556"
"11.67400","0.19459","152.52123"
"11.77400","0.19627","153.04202"
"11.87400","0.19794","153.66775"
"11.97400","0.19960","154.21781"
"12.07400","0.20126","154.73646"
"12.17400","0.20293","155.25464"
"12.27400","0.20461","155.81120"
"12.37400","0.20627","156.28135"
"12.47400","0.20794","156.79333"
"12.57400","0.20960","157.26039"
"12.67400","0.21127","157.72359"
"12.77400","0.21293","158.20214"
"12.87400","0.21460","158.66606"
"12.97400","0.21627","159.16783"
"13.07400","0.21794","159.65937"
"13.17400","0.21960","160.09942"
"13.27400","0.22126","160.54798"
"13.37400","0.22293","161.01533"
"13.47400","0.22460","161.43587"
"13.57400","0.22627","161.87354"
"13.67400","0.22793","162.30720"
"13.77400","0.22960","162.73036"
"13.87400","0.23127","163.15209"
"13.97400","0.23294","163.59733"
"14.07400","0.23459","163.97481"
"14.17400","0.23626","164.36467"
"14.27400","0.23794","164.77893"
"14.37400","0.23960","165.16426"
"14.47400","0.24127","165.54035"
"14.57400","0.24293","165.93206"
"14.67400","0.24461","166.33747"
"14.77400","0.24627","166.68430"
"14.87400","0.24793","167.06082"
"14.97400","0.24960","167.40564"
"15.07400","0.25127","167.77962"
"15.17400","0.25293","168.11411"
