Material,Nylon
Geometry,Circular
Length,"2.00000",in
Diameter,"0.26400",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","-5.83296"
"0.10000","0.00162","-0.88940"
"0.16900","0.00283","4.79604"
"0.25000","0.00421","10.44158"
"0.33900","0.00568","16.09805"
"0.43300","0.00725","21.73003"
"0.53300","0.00891","27.28271"
"0.63300","0.01058","32.46900"
"0.73300","0.01226","37.38735"
"0.83300","0.01393","41.98727"
"0.93300","0.01558","46.30537"
"1.03300","0.01725","50.47890"
"1.13300","0.01893","54.51779"
"1.23300","0.02058","58.29926"
"1.33300","0.02225","62.01371"
"1.43300","0.02392","65.52266"
"1.53300","0.02559","68.96627"
"1.63300","0.02726","72.29432"
"1.73300","0.02891","75.44038"
"1.83300","0.03059","78.50884"
"1.93300","0.03225","81.49415"
"2.03300","0.03392","84.34254"
"2.13300","0.03558","87.06265"
"2.23300","0.03725","89.77149"
"2.33300","0.03893","92.39191"
"2.43300","0.04059","94.85679"
"2.53300","0.04225","97.24143"
"2.63300","0.04392","99.55394"
"2.73300","0.04559","101.82011"
"2.83300","0.04725","103.97083"
"2.93300","0.04892","106.10117"
"3.03300","0.05058","108.10637"
"3.13300","0.05226","110.10083"
"3.23300","0.05392","112.03703"
"3.33300","0.05558","113.83334"
"3.43300","0.05724","115.64353"
"3.53300","0.05893","117.39249"
"3.63300","0.06060","119.06181"
"3.73300","0.06225","120.59875"
"3.83300","0.06392","122.07671"
"3.93300","0.06559","123.52664"
"4.03300","0.06725","124.90193"
"4.13300","0.06892","126.30184"
"4.23300","0.07058","127.60674"
"4.33300","0.07225","128.89495"
"4.43300","0.07392","130.15408"
"4.53300","0.07559","131.36218"
"4.63300","0.07725","132.54690"
"4.73300","0.07892","133.71978"
"4.83300","0.08059","134.83957"
"4.93300","0.08225","135.92003"
"5.03300","0.08391","137.00187"
"5.13300","0.08559","138.07677"
"5.23300","0.08725","139.06862"
"5.33300","0.08892","140.09807"
"5.43300","0.09059","141.05277"
"5.53300","0.09225","142.01952"
"5.63300","0.09392","142.97465"
"5.73300","0.09559","143.90576"
"5.83300","0.09725","144.78602"
"5.93300","0.09892","145.66013"
"6.03300","0.10059","146.55079"
"6.13300","0.10226","147.35636"
"6.23300","0.10391","148.15631"
"6.33300","0.10558","148.99483"
"6.43300","0.10726","149.79648"
"6.53300","0.10892","150.57770"
"6.63300","0.11058","151.31586"
"6.73300","0.11225","152.05950"
"6.83300","0.11392","152.79695"
"6.93300","0.11558","153.49426"
"7.03300","0.11725","154.14547"
"7.13300","0.11892","154.72466"
"7.23300","0.12059","155.25718"
"7.33300","0.12226","155.89733"
"7.43300","0.12392","156.57575"
"7.53300","0.12559","157.26342"
"7.63300","0.12725","157.86418"
"7.73300","0.12892","158.46791"
"7.83300","0.13058","159.06587"
"7.93300","0.13226","159.67936"
"8.03300","0.13392","160.27577"
"8.13300","0.13559","160.85684"
"8.23300","0.13725","161.44202"
"8.33300","0.13891","161.99412"
"8.43300","0.14059","162.56602"
"8.53300","0.14225","163.10904"
"8.63300","0.14392","163.63605"
"8.73300","0.14559","164.17975"
"8.83300","0.14726","164.72001"
"8.93300","0.14892","165.18634"
"9.03300","0.15058","165.68335"
"9.13300","0.15225","166.20357"
"9.23300","0.15392","166.68389"
"9.33300","0.15558","167.15608"
"9.43300","0.15725","167.62403"
"9.53300","0.15892","168.11104"
"9.63300","0.16058","168.56477"
"9.73300","0.16225","169.00488"
"9.83300","0.16392","169.42589"
"9.93300","0.16559","169.87213"
"10.03300","0.16726","170.32311"
"10.13300","0.16892","170.73837"
"10.23300","0.17058","171.12277"
"10.33300","0.17225","171.53820"
"10.43300","0.17393","171.92214"
"10.53300","0.17559","172.31103"
"10.63300","0.17725","172.67175"
"10.73300","0.17892","173.05051"
"10.83300","0.18059","173.42704"
"10.93300","0.18225","173.79523"
"11.03300","0.18392","174.13030"
"11.13300","0.18559","174.47179"
"11.23300","0.18725","174.84526"
"11.33300","0.18892","175.16928"
"11.43300","0.19059","175.45572"
"11.53300","0.19225","175.80040"
"11.63300","0.19392","176.12316"
"11.73300","0.19559","176.39354"
"11.83300","0.19724","176.64390"
"11.93300","0.19892","176.93110"
"12.03300","0.20059","177.20137"
"12.13300","0.20225","177.49595"
"12.23300","0.20392","177.78663"
"12.33300","0.20559","178.06240"
"12.43300","0.20726","178.32516"
"12.53300","0.20892","178.59188"
"12.63300","0.21058","178.84934"
"12.73300","0.21226","179.10835"
"12.83300","0.21393","179.37446"
"12.93300","0.21559","179.60301"
"13.03300","0.21725","179.83195"
"13.13300","0.21892","180.05872"
"13.23300","0.22059","180.30002"
"13.33300","0.22225","180.51752"
"13.43300","0.22392","180.74853"
"13.53300","0.22558","180.95531"
"13.63300","0.22725","181.18979"
"13.73300","0.22892","181.39490"
"13.83300","0.23058","181.57823"
"13.93300","0.23225","181.74543"
"14.03300","0.23392","181.99316"
"14.13300","0.23559","182.17854"
"14.23300","0.23725","182.33807"
"14.33300","0.23891","182.50844"
"14.43300","0.24060","182.71358"
"14.53300","0.24226","182.87250"
"14.63300","0.24391","183.01719"
"14.73300","0.24559","183.18324"
"14.83300","0.24726","183.34554"
"14.93300","0.24892","183.48114"
"15.03300","0.25059","183.63540"
"15.13300","0.25225","183.76878"
