Material,Steel
Geometry,Rectangular
Width,"0.12400",in
Thickness,"0.12400",in
Length,"2.00000",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","11.18317"
"0.10000","0.00001","11.21376"
"0.20000","0.00008","13.75769"
"0.29100","0.00017","19.38554"
"0.39100","0.00025","24.11132"
"0.49100","0.00032","28.07370"
"0.59100","0.00040","32.12126"
"0.69100","0.00047","35.48902"
"0.79100","0.00053","37.92929"
"0.89100","0.00059","39.96634"
"0.99100","0.00066","42.20948"
"1.09100","0.00073","44.34919"
"1.19100","0.00079","46.10492"
"1.29100","0.00085","47.78711"
"1.39100","0.00092","49.49571"
"1.49100","0.00099","51.38071"
"1.59100","0.00107","53.09565"
"1.69100","0.00113","54.43475"
"1.79100","0.00119","55.75788"
"1.89100","0.00126","57.27647"
"1.99100","0.00133","58.98318"
"2.09100","0.00140","60.27195"
"2.19100","0.00146","61.34253"
"2.29100","0.00152","62.46833"
"2.39100","0.00159","63.84176"
"2.49100","0.00166","65.38739"
"2.59100","0.00174","66.63139"
"2.69100","0.00180","67.51493"
"2.79100","0.00186","68.57166"
"2.89100","0.00193","69.60484"
"2.99100","0.00199","70.78738"
"3.09100","0.00206","71.76033"
"3.19100","0.00212","72.58226"
"3.29100","0.00219","73.70970"
"3.39100","0.00226","74.70175"
"3.49100","0.00233","75.73297"
"3.59100","0.00240","76.47076"
"3.69100","0.00246","77.20918"
"3.79100","0.00252","78.06236"
"3.89100","0.00260","79.09700"
"3.99100","0.00267","79.88226"
"4.09100","0.00273","80.39383"
"4.19100","0.00279","80.96371"
"4.29100","0.00285","81.76833"
"4.39100","0.00293","82.85622"
"4.49100","0.00301","83.57168"
"4.59100","0.00307","83.97491"
"4.69100","0.00313","84.54516"
"4.79100","0.00319","85.12386"
"4.89100","0.00326","85.88519"
"4.99100","0.00333","86.51197"
"5.09100","0.00339","86.99093"
"5.19100","0.00346","87.50082"
"5.29100","0.00353","88.27385"
"5.39100","0.00360","88.92301"
"5.49100","0.00366","89.24475"
"5.59100","0.00372","89.64292"
"5.69100","0.00379","90.24225"
"5.79100","0.00386","90.87663"
"5.89100","0.00394","91.41871"
"5.99100","0.00400","91.68536"
"6.09100","0.00405","91.94725"
"6.19100","0.00412","92.48274"
"6.29100","0.00420","93.25012"
"6.39100","0.00427","93.79089"
"6.49100","0.00434","93.89751"
"6.59100","0.00440","94.27443"
"6.69100","0.00446","94.69388"
"6.79100","0.00452","95.19635"
"6.89100","0.00459","95.63131"
"6.99100","0.00466","95.98095"
"7.09100","0.00472","96.32981"
"7.19100","0.00479","96.87999"
"7.29100","0.00487","97.35889"
"7.39100","0.00493","97.62329"
"7.49100","0.00500","97.89028"
"7.59100","0.00506","98.21883"
"7.69100","0.00513","98.86763"
"7.79100","0.00520","99.41024"
"7.89100","0.00526","99.53331"
"7.99100","0.00532","99.79962"
"8.09100","0.00538","100.17770"
"8.19100","0.00546","100.83591"
"8.29100","0.00554","101.46093"
"8.39100","0.00560","101.51519"
"8.49100","0.00566","101.78286"
"8.59100","0.00572","102.17738"
"8.69100","0.00579","102.62014"
"8.79100","0.00586","103.05465"
"8.89100","0.00593","103.38347"
"8.99100","0.00599","103.57493"
"9.09100","0.00606","103.99148"
"9.19100","0.00613","104.51368"
"9.29100","0.00620","104.84370"
"9.39100","0.00626","104.97415"
"9.49100","0.00632","105.20629"
"9.59100","0.00639","105.81316"
"9.69100","0.00647","106.31478"
"9.79100","0.00653","106.36346"
"9.89100","0.00659","106.58605"
"9.99100","0.00665","106.83031"
"10.09100","0.00672","107.41269"
"10.19100","0.00680","107.96889"
"10.29100","0.00687","108.08561"
"10.39100","0.00693","108.20832"
"10.49100","0.00700","108.58854"
"10.59100","0.00706","108.91435"
"10.69100","0.00713","109.35380"
"10.79100","0.00720","109.70759"
"10.89100","0.00726","109.87006"
"10.99100","0.00732","110.28719"
"11.09100","0.00740","110.83740"
"11.19100","0.00747","111.19790"
"11.29100","0.00753","111.36199"
"11.39100","0.00759","111.63522"
"11.49100","0.00766","112.07846"
"11.59100","0.00773","112.63049"
"11.69100","0.00780","112.95219"
"11.79100","0.00786","113.03764"
"11.89100","0.00792","113.28967"
"11.99100","0.00799","113.85365"
