Material,Nylon
Geometry,Circular
Length,"5.12000",in
Diameter,"0.062100",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","-0.16205"
"0.10000","0.00152","0.07146"
"0.20000","0.00336","0.57897"
"0.30000","0.00503","0.95647"
"0.40000","0.00670","1.32069"
"0.50000","0.00837","1.66756"
"0.60000","0.01003","1.98558"
"0.70000","0.01170","2.29880"
"0.80000","0.01337","2.60476"
"0.90000","0.01503","2.90062"
"1.00000","0.01670","3.18027"
"1.10000","0.01838","3.45985"
"1.20000","0.02003","3.72798"
"1.30000","0.02169","3.98811"
"1.40000","0.02337","4.24420"
"1.50000","0.02504","4.49808"
"1.60000","0.02669","4.73195"
"1.70000","0.02837","4.97218"
"1.80000","0.03004","5.20318"
"1.90000","0.03170","5.42453"
"2.00000","0.03336","5.65179"
"2.10000","0.03504","5.87135"
"2.20000","0.03670","6.08063"
"2.30000","0.03837","6.29128"
"2.40000","0.04003","6.49751"
"2.50000","0.04170","6.71338"
"2.60000","0.04336","6.89795"
"2.70000","0.04504","7.08361"
"2.80000","0.04670","7.27945"
"2.90000","0.04836","7.45200"
"3.00000","0.05003","7.61762"
"3.10000","0.05171","7.79267"
"3.20000","0.05336","7.95387"
"3.30000","0.05503","8.11490"
"3.40000","0.05670","8.27220"
"3.50000","0.05837","8.42207"
"3.60000","0.06002","8.57431"
"3.70000","0.06170","8.71039"
"3.80000","0.06337","8.84584"
"3.90000","0.06503","8.98701"
"4.00000","0.06670","9.10814"
"4.10000","0.06837","9.23548"
"4.20000","0.07003","9.37021"
"4.30000","0.07170","9.49406"
"4.40000","0.07337","9.61178"
"4.50000","0.07503","9.72916"
"4.60000","0.07669","9.83225"
"4.70000","0.07837","9.94798"
"4.80000","0.08004","10.06104"
"4.90000","0.08169","10.16191"
"5.00000","0.08337","10.27509"
"5.10000","0.08504","10.36974"
"5.20000","0.08669","10.46343"
"5.30000","0.08836","10.56668"
"5.40000","0.09004","10.66147"
"5.50000","0.09170","10.75487"
"5.60000","0.09336","10.84196"
"5.70000","0.09503","10.92862"
"5.80000","0.09670","11.01126"
"5.90000","0.09836","11.10869"
"6.00000","0.10004","11.18268"
"6.10000","0.10171","11.26412"
"6.20000","0.10336","11.35167"
"6.30000","0.10503","11.42367"
"6.40000","0.10670","11.49756"
"6.50000","0.10837","11.56960"
"6.60000","0.11003","11.64207"
"6.70000","0.11170","11.71707"
"6.80000","0.11337","11.79091"
"6.90000","0.11503","11.84832"
"7.00000","0.11670","11.91976"
"7.10000","0.11837","11.97943"
"7.20000","0.12003","12.04340"
"7.30000","0.12170","12.11239"
"7.40000","0.12338","12.17516"
"7.50000","0.12503","12.24480"
"7.60000","0.12669","12.30398"
"7.70000","0.12837","12.35326"
"7.80000","0.13004","12.42000"
"7.90000","0.13170","12.46855"
"8.00000","0.13337","12.52216"
"8.10000","0.13504","12.57580"
"8.20000","0.13669","12.63319"
"8.30000","0.13837","12.68224"
"8.40000","0.14004","12.74894"
