Material,Acrylic
Geometry,Circular
Length,"2.00000",in
Diameter,"0.25100",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00001","-2.91801"
"0.10000","0.00008","-2.38166"
"0.20000","0.00025","2.35758"
"0.30000","0.00042","6.92649"
"0.40000","0.00054","10.25700"
"0.50000","0.00067","13.61991"
"0.60000","0.00080","16.89535"
"0.70000","0.00094","20.31644"
"0.80000","0.00108","24.01818"
"0.90000","0.00121","26.98603"
"1.00000","0.00135","30.77601"
"1.10000","0.00146","33.43652"
"1.20000","0.00161","36.68873"
"1.30000","0.00175","40.52009"
"1.40000","0.00187","43.15114"
"1.50000","0.00201","46.33812"
"1.60000","0.00213","49.19381"
"1.70000","0.00228","52.59650"
"1.80000","0.00240","55.35733"
"1.90000","0.00255","58.01095"
"2.00000","0.00268","60.46579"
"2.10000","0.00279","62.67008"
"2.20000","0.00296","66.27720"
"2.30000","0.00308","69.04692"
"2.40000","0.00321","71.61706"
"2.50000","0.00333","74.35386"
"2.60000","0.00347","76.93225"
"2.70000","0.00362","79.98247"
"2.80000","0.00374","82.20617"
"2.90000","0.00389","85.22970"
"3.00000","0.00400","87.63700"
"3.10000","0.00413","89.99583"
"3.20000","0.00429","93.50820"
"3.30000","0.00440","95.63263"
"3.40000","0.00454","98.30974"
"3.50000","0.00467","100.80439"
"3.60000","0.00481","103.46213"
"3.70000","0.00494","106.16238"
"3.80000","0.00508","108.44537"
"3.90000","0.00522","111.44187"
"4.00000","0.00532","113.28192"
"4.10000","0.00549","116.05628"
"4.20000","0.00561","118.69207"
"4.30000","0.00574","120.78581"
"4.40000","0.00587","123.22360"
"4.50000","0.00600","125.33262"
"4.60000","0.00615","128.10779"
"4.70000","0.00627","130.20502"
"4.80000","0.00642","132.55498"
"4.90000","0.00654","134.83236"
"5.00000","0.00666","136.48702"
"5.10000","0.00682","139.44582"
"5.20000","0.00694","141.29585"
"5.30000","0.00708","143.28423"
"5.40000","0.00720","145.31054"
"5.50000","0.00734","147.26321"
"5.60000","0.00748","149.63095"
"5.70000","0.00760","151.23079"
"5.80000","0.00775","153.64142"
