Material,Acrylic
Geometry,Circular
Length,"2.00000",in
Diameter,"0.12800",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.34539","-2.86032"
"0.10000","0.34543","-2.85364"
"0.20000","0.34561","-2.50721"
"0.30000","0.34578","-2.10108"
"0.40000","0.34592","-1.73272"
"0.50000","0.34606","-1.44109"
"0.60000","0.34620","-1.09788"
"0.70000","0.34631","-0.86970"
"0.80000","0.34647","-0.52216"
"0.90000","0.34660","-0.19214"
"1.00000","0.34672","0.05933"
"1.10000","0.34686","0.37393"
"1.20000","0.34699","0.65696"
"1.30000","0.34713","1.00359"
"1.40000","0.34725","1.25211"
"1.50000","0.34740","1.58081"
"1.60000","0.34752","1.87810"
"1.70000","0.34765","2.11248"
"1.80000","0.34781","2.49773"
"1.90000","0.34792","2.73768"
"2.00000","0.34806","3.01108"
"2.10000","0.34818","3.30615"
"2.20000","0.34833","3.59540"
"2.30000","0.34847","3.90425"
"2.40000","0.34859","4.15949"
"2.50000","0.34874","4.49430"
"2.60000","0.34885","4.73408"
"2.70000","0.34899","5.02086"
"2.80000","0.34913","5.36904"
"2.90000","0.34926","5.60950"
"3.00000","0.34939","5.88380"
"3.10000","0.34952","6.14884"
"3.20000","0.34967","6.45752"
"3.30000","0.34979","6.73813"
"3.40000","0.34993","7.00214"
"3.50000","0.35006","7.31450"
"3.60000","0.35018","7.54005"
"3.70000","0.35034","7.87460"
"3.80000","0.35046","8.15264"
"3.90000","0.35059","8.42496"
"4.00000","0.35072","8.69872"
"4.10000","0.35086","8.95282"
"4.20000","0.35100","9.27049"
"4.30000","0.35112","9.50652"
"4.40000","0.35127","9.81597"
"4.50000","0.35138","10.07133"
"4.60000","0.35152","10.30427"
"4.70000","0.35167","10.65883"
"4.80000","0.35179","10.87274"
"4.90000","0.35193","11.15885"
"5.00000","0.35205","11.41513"
"5.10000","0.35220","11.69783"
"5.20000","0.35232","11.99759"
"5.30000","0.35246","12.25717"
"5.40000","0.35260","12.56147"
"5.50000","0.35271","12.78698"
"5.60000","0.35287","13.07596"
"5.70000","0.35300","13.37580"
"5.80000","0.35312","13.61289"
"5.90000","0.35326","13.88825"
"6.00000","0.35338","14.12581"
"6.10000","0.35353","14.43921"
"6.20000","0.35366","14.68126"
"6.30000","0.35380","14.97060"
"6.40000","0.35392","15.22651"
"6.50000","0.35405","15.44440"
"6.60000","0.35421","15.79942"
"6.70000","0.35432","16.02091"
"6.80000","0.35446","16.26599"
"6.90000","0.35458","16.53839"
"7.00000","0.35472","16.79902"
"7.10000","0.35486","17.08388"
"7.20000","0.35499","17.30393"
"7.30000","0.35514","17.61890"
"7.40000","0.35525","17.84626"
"7.50000","0.35539","18.10532"
"7.60000","0.35553","18.43830"
"7.70000","0.35566","18.64465"
"7.80000","0.35579","18.92773"
"7.90000","0.35591","19.16197"
