Material,Nylon
Geometry,Circular
Length,"2.00000",in
Diameter,"0.24500",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","9.36490"
"0.06500","0.00070","15.28660"
"0.07700","0.00099","21.21292"
"0.08600","0.00121","26.89985"
"0.09400","0.00140","32.56992"
"0.10200","0.00158","38.53405"
"0.11000","0.00174","44.53049"
"0.11800","0.00191","50.34284"
"0.12700","0.00208","56.47075"
"0.13700","0.00226","62.63441"
"0.14800","0.00246","68.75151"
"0.15900","0.00265","74.39862"
"0.17100","0.00285","80.16940"
"0.18400","0.00308","86.07719"
"0.19700","0.00329","91.77231"
"0.21100","0.00354","97.74972"
"0.22500","0.00378","103.62699"
"0.23900","0.00401","109.42028"
"0.25400","0.00426","115.42019"
"0.26900","0.00451","121.18724"
"0.28500","0.00478","127.09288"
"0.30100","0.00505","132.79557"
"0.31800","0.00533","138.70923"
"0.33500","0.00561","144.37855"
"0.35400","0.00593","150.22634"
"0.37300","0.00625","155.90917"
"0.39200","0.00656","161.57453"
"0.41200","0.00689","167.21762"
"0.43400","0.00726","173.06250"
"0.45800","0.00766","178.88570"
"0.48400","0.00809","184.58021"
"0.51400","0.00859","190.33109"
"0.54900","0.00917","196.02175"
"0.59100","0.00988","201.71586"
"0.64100","0.01071","207.40433"
"0.69700","0.01165","213.03124"
"0.76400","0.01277","218.68605"
"0.84500","0.01411","224.35545"
"0.94300","0.01574","229.98247"
"1.04300","0.01742","234.60038"
"1.14300","0.01909","239.40712"
"1.24300","0.02075","243.85135"
"1.34300","0.02241","248.08129"
"1.44300","0.02408","252.53968"
"1.54300","0.02575","256.72048"
"1.64300","0.02742","259.64391"
"1.74300","0.02908","261.84029"
"1.84300","0.03075","264.50853"
"1.94300","0.03242","267.30618"
"2.04300","0.03408","269.94854"
"2.14300","0.03575","272.69215"
"2.24300","0.03741","275.64587"
"2.34300","0.03909","278.40425"
"2.44300","0.04075","280.90100"
"2.54300","0.04241","283.29506"
"2.64300","0.04408","285.68382"
"2.74300","0.04575","287.91028"
"2.84300","0.04742","289.86984"
"2.94300","0.04908","291.96518"
"3.04300","0.05074","293.75292"
"3.14300","0.05242","295.79009"
"3.24300","0.05408","297.91302"
"3.34300","0.05575","299.91401"
"3.44300","0.05741","301.73754"
"3.54300","0.05909","303.72166"
"3.64300","0.06076","305.64807"
"3.74300","0.06241","307.10389"
"3.84300","0.06408","308.56723"
"3.94300","0.06576","309.88209"
"4.04300","0.06742","311.15405"
"4.14300","0.06909","312.71330"
"4.24300","0.07074","313.96344"
"4.34300","0.07241","315.41724"
"4.44300","0.07409","317.11173"
"4.54300","0.07575","318.59376"
"4.64300","0.07741","319.89149"
"4.74300","0.07909","321.44298"
"4.84300","0.08076","323.01579"
"4.94300","0.08241","324.47603"
"5.04300","0.08408","325.84862"
"5.14300","0.08576","327.27514"
"5.24300","0.08742","328.33277"
"5.34300","0.08908","329.84546"
"5.44300","0.09075","331.35543"
"5.54300","0.09242","332.68850"
"5.64300","0.09409","333.86894"
"5.74300","0.09575","334.98843"
"5.84300","0.09741","335.96511"
"5.94300","0.09909","336.95235"
"6.04300","0.10075","337.95491"
"6.14300","0.10242","338.83085"
"6.24300","0.10407","339.33798"
"6.34300","0.10575","339.69822"
"6.44300","0.10742","339.95967"
"6.54300","0.10908","340.05426"
"6.64300","0.11075","340.23914"
"6.74300","0.11242","340.44790"
"6.84300","0.11408","340.74655"
"6.94300","0.11575","340.81197"
"7.04300","0.11741","340.87910"
"7.14300","0.11908","341.16549"
"7.24300","0.12075","341.58418"
"7.34300","0.12242","341.73116"
"7.44300","0.12408","341.52049"
"7.54300","0.12575","341.43624"
"7.64300","0.12742","341.21703"
"7.74300","0.12908","341.13259"
"7.84300","0.13074","341.84711"
"7.94300","0.13242","343.32546"
"8.04300","0.13409","344.61861"
"8.14300","0.13575","345.52407"
"8.24300","0.13741","346.17056"
"8.34300","0.13908","347.06456"
"8.44300","0.14075","347.84529"
"8.54300","0.14242","348.35542"
"8.64300","0.14408","349.00762"
"8.74300","0.14575","349.75576"
"8.84300","0.14742","350.36784"
"8.94300","0.14909","350.61877"
"9.04300","0.15075","350.72220"
"9.14300","0.15242","351.27108"
"9.24300","0.15409","351.71337"
"9.34300","0.15575","352.15914"
"9.44300","0.15742","352.93179"
"9.54300","0.15908","353.76955"
"9.64300","0.16075","354.32724"
"9.74300","0.16242","354.83309"
"9.84300","0.16408","355.27875"
"9.94300","0.16575","355.68710"
"10.04300","0.16742","355.89459"
"10.14300","0.16908","356.02870"
"10.24300","0.17074","356.20719"
"10.34300","0.17242","356.85950"
"10.44300","0.17409","357.25752"
"10.54300","0.17575","357.34257"
"10.64300","0.17742","357.94117"
"10.74300","0.17909","358.58681"
"10.84300","0.18075","358.72948"
"10.94300","0.18242","359.03445"
"11.04300","0.18408","359.83805"
"11.14300","0.18575","361.03992"
"11.24300","0.18741","362.19218"
"11.34300","0.18908","363.43634"
"11.44300","0.19075","364.77498"
"11.54300","0.19241","366.36231"
"11.64300","0.19408","367.81995"
"11.74300","0.19575","368.87552"
"11.84300","0.19741","369.96965"
"11.94300","0.19909","371.37048"
