Material,Copper
Geometry,Circular
Length,"2.00000",in
Diameter,"0.12500",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","0.43574"
"0.10000","0.00011","1.46448"
"0.17700","0.00042","7.14725"
"0.23600","0.00057","12.80534"
"0.28700","0.00074","18.54042"
"0.33500","0.00084","24.18153"
"0.39000","0.00098","29.87098"
"0.44200","0.00110","35.55152"
"0.49500","0.00124","41.25970"
"0.53900","0.00136","47.00221"
"0.59000","0.00147","52.64400"
"0.64000","0.00161","58.30951"
"0.68900","0.00171","63.98555"
"0.75100","0.00187","69.70578"
"0.79400","0.00200","75.45351"
"0.84100","0.00211","81.16004"
"0.89900","0.00225","86.78551"
"0.95600","0.00238","92.48542"
"1.01400","0.00254","98.12353"
"1.06300","0.00266","103.75415"
"1.13000","0.00283","109.45722"
"1.17900","0.00295","115.13012"
"1.24800","0.00311","120.81681"
"1.29700","0.00326","126.45916"
"1.34500","0.00337","132.10130"
"1.41100","0.00353","137.80090"
"1.47200","0.00367","143.43247"
"1.53200","0.00383","149.08289"
"1.58200","0.00396","154.72727"
"1.64500","0.00412","160.38514"
"1.69900","0.00425","166.02247"
"1.77400","0.00443","171.65542"
"1.82200","0.00457","177.29066"
"1.88400","0.00472","182.91643"
"1.95500","0.00488","188.61078"
"2.02500","0.00506","194.23192"
"2.07800","0.00520","199.85549"
"2.14500","0.00537","205.50541"
"2.20400","0.00552","211.13399"
"2.28400","0.00570","216.82692"
"2.33500","0.00586","222.53933"
"2.40400","0.00601","228.18377"
"2.47500","0.00618","233.81753"
"2.54700","0.00637","239.44005"
"2.60400","0.00652","245.11138"
"2.67700","0.00671","250.77671"
"2.75200","0.00686","256.43377"
"2.82600","0.00708","262.08914"
"2.88300","0.00722","267.73681"
"2.96600","0.00742","273.39251"
"3.04700","0.00761","279.03233"
"3.10900","0.00778","284.72547"
"3.18900","0.00798","290.38771"
"3.26700","0.00815","296.04415"
"3.34400","0.00838","301.69972"
"3.41500","0.00854","307.35172"
"3.50000","0.00875","312.99223"
"3.58100","0.00896","318.62230"
"3.65400","0.00914","324.27488"
"3.73300","0.00934","329.92592"
"3.83200","0.00958","335.62411"
"3.89400","0.00975","341.25558"
"3.98800","0.00997","346.90838"
"4.07800","0.01020","352.58648"
"4.15100","0.01038","358.21384"
"4.24000","0.01061","363.90401"
"4.34000","0.01085","369.17547"
"4.40500","0.01103","374.81833"
"4.50500","0.01126","380.33359"
"4.59900","0.01151","385.99519"
"4.68200","0.01171","391.61605"
"4.77600","0.01194","397.24714"
"4.87600","0.01221","402.69917"
"4.96400","0.01242","408.32521"
"5.06400","0.01265","413.58025"
"5.15000","0.01289","419.26787"
"5.25000","0.01314","424.79778"
"5.35000","0.01337","429.47967"
"5.43000","0.01359","435.15551"
"5.53000","0.01383","440.05526"
"5.63000","0.01409","445.24892"
"5.73000","0.01433","450.69749"
"5.83000","0.01456","455.40563"
"5.92800","0.01484","461.06894"
"6.02800","0.01507","465.38867"
"6.12800","0.01532","469.98517"
"6.22800","0.01558","475.29469"
"6.32800","0.01581","479.83791"
"6.42800","0.01609","484.58442"
"6.52800","0.01632","488.72845"
"6.62800","0.01657","492.93056"
"6.72800","0.01682","497.85506"
