Material,Acrylic
Geometry,Circular
Length,"2.00000",in
Diameter,"0.11800",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","-6.66223"
"0.10000","0.00007","-6.63222"
"0.20000","0.00026","-6.38855"
"0.30000","0.00039","-6.18781"
"0.40000","0.00054","-5.95290"
"0.50000","0.00066","-5.77340"
"0.60000","0.00080","-5.58909"
"0.70000","0.00095","-5.35819"
"0.80000","0.00106","-5.20439"
"0.90000","0.00121","-4.98711"
"1.00000","0.00133","-4.81448"
"1.10000","0.00148","-4.63295"
"1.20000","0.00160","-4.43419"
"1.30000","0.00173","-4.27252"
"1.40000","0.00187","-4.07371"
"1.50000","0.00199","-3.92907"
"1.60000","0.00215","-3.71239"
"1.70000","0.00227","-3.53560"
"1.80000","0.00240","-3.37559"
"1.90000","0.00254","-3.17591"
"2.00000","0.00266","-3.01975"
"2.10000","0.00281","-2.82072"
"2.20000","0.00293","-2.65390"
"2.30000","0.00307","-2.48266"
"2.40000","0.00320","-2.29841"
"2.50000","0.00333","-2.14949"
"2.60000","0.00349","-1.92977"
"2.70000","0.00359","-1.78706"
"2.80000","0.00375","-1.59691"
"2.90000","0.00387","-1.42274"
"3.00000","0.00400","-1.26710"
"3.10000","0.00414","-1.07544"
"3.20000","0.00426","-0.93855"
"3.30000","0.00441","-0.73399"
"3.40000","0.00452","-0.59288"
"3.50000","0.00468","-0.42172"
"3.60000","0.00481","-0.22217"
"3.70000","0.00493","-0.09609"
"3.80000","0.00508","0.11746"
"3.90000","0.00519","0.25876"
"4.00000","0.00534","0.43661"
"4.10000","0.00547","0.58967"
"4.20000","0.00560","0.75889"
"4.30000","0.00573","0.92909"
"4.40000","0.00586","1.06525"
"4.50000","0.00602","1.28008"
"4.60000","0.00613","1.43132"
"4.70000","0.00628","1.58056"
"4.80000","0.00640","1.77176"
"4.90000","0.00653","1.89748"
"5.00000","0.00668","2.08870"
"5.10000","0.00679","2.23078"
"5.20000","0.00694","2.40886"
"5.30000","0.00706","2.55366"
"5.40000","0.00720","2.70752"
"5.50000","0.00735","2.90933"
"5.60000","0.00746","3.02611"
"5.70000","0.00762","3.20845"
"5.80000","0.00773","3.36435"
"5.90000","0.00788","3.50710"
"6.00000","0.00800","3.68494"
"6.10000","0.00813","3.81732"
"6.20000","0.00827","3.99550"
"6.30000","0.00839","4.12522"
"6.40000","0.00855","4.31015"
"6.50000","0.00867","4.47093"
"6.60000","0.00880","4.60534"
"6.70000","0.00894","4.79578"
"6.80000","0.00906","4.91656"
"6.90000","0.00921","5.08384"
"7.00000","0.00933","5.23337"
"7.10000","0.00947","5.38341"
"7.20000","0.00960","5.53110"
"7.30000","0.00972","5.66487"
"7.40000","0.00989","5.86694"
"7.50000","0.00999","5.98963"
"7.60000","0.01015","6.15057"
"7.70000","0.01027","6.31060"
"7.80000","0.01040","6.43186"
"7.90000","0.01054","6.60595"
"8.00000","0.01066","6.72881"
"8.10000","0.01081","6.88986"
"8.20000","0.01092","7.02609"
"8.30000","0.01108","7.18176"
"8.40000","0.01121","7.34848"
"8.50000","0.01133","7.46179"
"8.60000","0.01148","7.64936"
"8.70000","0.01159","7.77642"
"8.80000","0.01174","7.92700"
"8.90000","0.01187","8.07309"
"9.00000","0.01200","8.20914"
"9.10000","0.01213","8.35953"
"9.20000","0.01226","8.47564"
"9.30000","0.01242","8.65330"
"9.40000","0.01253","8.79317"
"9.50000","0.01268","8.92197"
"9.60000","0.01281","9.09675"
"9.70000","0.01293","9.20208"
"9.80000","0.01308","9.36579"
"9.90000","0.01319","9.48697"
"10.00000","0.01334","9.63469"
"10.10000","0.01346","9.76697"
"10.20000","0.01360","9.90599"
"10.30000","0.01375","10.07915"
"10.40000","0.01386","10.18117"
"10.50000","0.01401","10.34421"
"10.60000","0.01413","10.47656"
"10.70000","0.01427","10.59857"
"10.80000","0.01440","10.76146"
"10.90000","0.01453","10.87810"
"11.00000","0.01467","11.02239"
"11.10000","0.01479","11.14515"
"11.20000","0.01495","11.29702"
"11.30000","0.01507","11.44559"
"11.40000","0.01520","11.56352"
"11.50000","0.01534","11.72955"
"11.60000","0.01546","11.83522"
"11.70000","0.01561","11.97918"
"11.80000","0.01573","12.10932"
"11.90000","0.01587","12.23534"
"12.00000","0.01600","12.37601"
"12.10000","0.01612","12.48454"
"12.20000","0.01629","12.65262"
"12.30000","0.01640","12.76552"
"12.40000","0.01654","12.89835"
"12.50000","0.01667","13.03838"
"12.60000","0.01680","13.14394"
"12.70000","0.01694","13.30471"
"12.80000","0.01706","13.40573"
"12.90000","0.01721","13.54118"
"13.00000","0.01732","13.66301"
"13.10000","0.01747","13.79346"
"13.20000","0.01761","13.94845"
"13.30000","0.01773","14.04575"
"13.40000","0.01788","14.20330"
"13.50000","0.01799","14.29854"
"13.60000","0.01814","14.42914"
"13.70000","0.01827","14.56793"
"13.80000","0.01840","14.68370"
"13.90000","0.01853","14.81645"
"14.00000","0.01866","14.91719"
"14.10000","0.01882","15.07266"
"14.20000","0.01893","15.18604"
"14.30000","0.01907","15.30419"
"14.40000","0.01921","15.44767"
"14.50000","0.01933","15.53208"
"14.60000","0.01948","15.68679"
"14.70000","0.01959","15.78505"
"14.80000","0.01974","15.90802"
"14.90000","0.01986","16.03858"
"15.00000","0.02000","16.14112"
"15.10000","0.02015","16.29778"
