Material,Acrylic
Geometry,Circular
Length,"2.00000",in
Diameter,"0.12500",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","-7.53015"
"0.10000","0.00007","-7.49827"
"0.20000","0.00027","-7.24707"
"0.30000","0.00040","-7.02731"
"0.40000","0.00054","-6.80374"
"0.50000","0.00066","-6.62664"
"0.60000","0.00080","-6.44589"
"0.70000","0.00095","-6.21398"
"0.80000","0.00106","-6.06040"
"0.90000","0.00122","-5.83982"
"1.00000","0.00133","-5.68197"
"1.10000","0.00148","-5.48886"
"1.20000","0.00160","-5.30505"
"1.30000","0.00173","-5.13514"
"1.40000","0.00187","-4.93610"
"1.50000","0.00199","-4.78833"
"1.60000","0.00215","-4.59161"
"1.70000","0.00227","-4.41250"
"1.80000","0.00241","-4.24954"
"1.90000","0.00254","-4.04074"
"2.00000","0.00267","-3.90581"
"2.10000","0.00282","-3.69810"
"2.20000","0.00293","-3.53875"
"2.30000","0.00307","-3.36515"
"2.40000","0.00320","-3.19163"
"2.50000","0.00333","-3.03584"
"2.60000","0.00349","-2.81152"
"2.70000","0.00360","-2.68377"
"2.80000","0.00375","-2.48892"
"2.90000","0.00387","-2.32682"
"3.00000","0.00401","-2.17163"
"3.10000","0.00414","-1.97678"
"3.20000","0.00427","-1.82708"
"3.30000","0.00441","-1.63794"
"3.40000","0.00452","-1.49689"
"3.50000","0.00468","-1.32744"
"3.60000","0.00481","-1.13029"
"3.70000","0.00493","-1.00292"
"3.80000","0.00509","-0.78927"
"3.90000","0.00520","-0.65230"
"4.00000","0.00535","-0.48221"
"4.10000","0.00547","-0.32464"
"4.20000","0.00560","-0.17566"
"4.30000","0.00574","0.00126"
"4.40000","0.00586","0.14852"
"4.50000","0.00602","0.34863"
"4.60000","0.00613","0.48685"
"4.70000","0.00628","0.65079"
"4.80000","0.00641","0.83013"
"4.90000","0.00653","0.95717"
"5.00000","0.00668","1.14683"
"5.10000","0.00680","1.27670"
"5.20000","0.00694","1.45370"
"5.30000","0.00706","1.60796"
"5.40000","0.00720","1.75873"
"5.50000","0.00735","1.94985"
"5.60000","0.00746","2.05996"
"5.70000","0.00762","2.24094"
"5.80000","0.00773","2.38743"
"5.90000","0.00788","2.54773"
"6.00000","0.00800","2.70907"
"6.10000","0.00813","2.84491"
"6.20000","0.00827","3.02416"
"6.30000","0.00839","3.15815"
"6.40000","0.00855","3.32893"
"6.50000","0.00867","3.48521"
"6.60000","0.00881","3.60880"
"6.70000","0.00895","3.79312"
"6.80000","0.00906","3.90579"
"6.90000","0.00921","4.08680"
"7.00000","0.00933","4.21593"
"7.10000","0.00948","4.36262"
"7.20000","0.00960","4.52200"
"7.30000","0.00973","4.65309"
"7.40000","0.00989","4.84996"
"7.50000","0.01000","4.96183"
"7.60000","0.01015","5.12308"
"7.70000","0.01027","5.27309"
"7.80000","0.01041","5.40776"
"7.90000","0.01054","5.56856"
"8.00000","0.01067","5.69220"
"8.10000","0.01081","5.86243"
"8.20000","0.01093","5.98191"
"8.30000","0.01108","6.14511"
"8.40000","0.01121","6.31031"
"8.50000","0.01133","6.42252"
"8.60000","0.01148","6.60920"
"8.70000","0.01160","6.71995"
"8.80000","0.01175","6.87763"
"8.90000","0.01187","7.00700"
