Material,Steel
Geometry,Circular
Length,"2.00000",in
Diameter,"0.12500",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","0.05029"
"0.10000","0.00001","0.05587"
"0.20000","0.00002","0.11798"
"0.30000","0.00009","1.97259"
"0.40000","0.00013","3.52040"
"0.50000","0.00016","4.54984"
"0.60000","0.00020","5.61736"
"0.70000","0.00023","6.76306"
"0.80000","0.00027","8.08062"
"0.90000","0.00030","9.39270"
"1.00000","0.00034","10.66517"
"1.10000","0.00037","11.97050"
"1.20000","0.00040","13.27248"
"1.30000","0.00044","14.63798"
"1.40000","0.00047","15.87132"
"1.50000","0.00050","17.00527"
"1.60000","0.00053","18.25999"
"1.70000","0.00056","19.51718"
"1.80000","0.00060","20.78837"
"1.90000","0.00064","22.15545"
"2.00000","0.00068","23.57380"
"2.10000","0.00071","24.80259"
"2.20000","0.00074","25.97169"
"2.30000","0.00077","27.18120"
"2.40000","0.00080","28.30922"
"2.50000","0.00083","29.41930"
"2.60000","0.00087","30.52534"
"2.70000","0.00090","31.70090"
"2.80000","0.00093","32.95883"
"2.90000","0.00097","34.30813"
"3.00000","0.00101","35.60990"
"3.10000","0.00104","36.75050"
"3.20000","0.00107","37.87367"
"3.30000","0.00111","38.98765"
"3.40000","0.00114","40.06550"
"3.50000","0.00117","41.07911"
"3.60000","0.00120","42.19622"
"3.70000","0.00123","43.42620"
"3.80000","0.00127","44.63964"
"3.90000","0.00131","45.87027"
"4.00000","0.00134","47.11095"
"4.10000","0.00137","48.22357"
"4.20000","0.00141","49.29816"
"4.30000","0.00144","50.35280"
"4.40000","0.00147","51.35454"
"4.50000","0.00150","52.45341"
"4.60000","0.00153","53.57344"
"4.70000","0.00157","54.74377"
"4.80000","0.00160","55.87922"
"4.90000","0.00164","57.07397"
"5.00000","0.00167","58.29650"
"5.10000","0.00170","59.36799"
"5.20000","0.00173","60.37608"
"5.30000","0.00176","61.34713"
"5.40000","0.00180","62.40452"
"5.50000","0.00183","63.52833"
"5.60000","0.00187","64.64412"
"5.70000","0.00190","65.86816"
"5.80000","0.00194","67.08568"
"5.90000","0.00198","68.27171"
"6.00000","0.00201","69.30390"
"6.10000","0.00204","70.39796"
"6.20000","0.00207","71.41870"
"6.30000","0.00210","72.40965"
"6.40000","0.00213","73.37419"
"6.50000","0.00216","74.39524"
"6.60000","0.00220","75.56841"
"6.70000","0.00224","76.79779"
"6.80000","0.00228","78.03754"
"6.90000","0.00231","79.09343"
"7.00000","0.00234","80.10389"
"7.10000","0.00237","81.12960"
"7.20000","0.00240","82.13685"
"7.30000","0.00243","83.09766"
"7.40000","0.00247","84.09421"
"7.50000","0.00250","85.18673"
"7.60000","0.00253","86.32787"
"7.70000","0.00257","87.45985"
"7.80000","0.00261","88.65121"
"7.90000","0.00264","89.70296"
"8.00000","0.00267","90.70698"
"8.10000","0.00271","91.70215"
"8.20000","0.00274","92.65485"
"8.30000","0.00277","93.57826"
"8.40000","0.00280","94.67256"
"8.50000","0.00283","95.76064"
"8.60000","0.00287","96.82834"
"8.70000","0.00290","97.95191"
"8.80000","0.00294","99.07573"
"8.90000","0.00297","100.12698"
"9.00000","0.00300","101.06808"
"9.10000","0.00303","101.97317"
