Material,Acrylic
Geometry,Circular
Length,"2.00000",in
Diameter,"0.12700",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","0.31372"
"0.10000","0.00002","0.30878"
"0.20000","0.00022","0.60027"
"0.30000","0.00040","1.10600"
"0.40000","0.00053","1.49443"
"0.50000","0.00067","1.78785"
"0.60000","0.00081","2.20059"
"0.70000","0.00093","2.45430"
"0.80000","0.00108","2.82076"
"0.90000","0.00120","3.11862"
"1.00000","0.00134","3.42428"
"1.10000","0.00147","3.76793"
"1.20000","0.00160","4.03722"
"1.30000","0.00174","4.38087"
"1.40000","0.00185","4.64917"
"1.50000","0.00201","4.99130"
"1.60000","0.00213","5.30397"
"1.70000","0.00227","5.56781"
"1.80000","0.00241","5.93355"
"1.90000","0.00253","6.17233"
"2.00000","0.00268","6.51137"
"2.10000","0.00280","6.78458"
"2.20000","0.00294","7.08947"
"2.30000","0.00306","7.40179"
"2.40000","0.00319","7.65116"
"2.50000","0.00335","8.03347"
"2.60000","0.00346","8.26270"
"2.70000","0.00361","8.57928"
"2.80000","0.00373","8.86725"
"2.90000","0.00387","9.12184"
"3.00000","0.00401","9.46062"
"3.10000","0.00413","9.70598"
"3.20000","0.00427","10.01884"
"3.30000","0.00439","10.28059"
"3.40000","0.00454","10.56582"
"3.50000","0.00467","10.89756"
"3.60000","0.00480","11.12262"
"3.70000","0.00495","11.46718"
"3.80000","0.00506","11.69986"
"3.90000","0.00521","12.00355"
"4.00000","0.00533","12.28081"
"4.10000","0.00547","12.54702"
"4.20000","0.00560","12.84084"
"4.30000","0.00572","13.07379"
"4.40000","0.00589","13.41768"
"4.50000","0.00600","13.68312"
"4.60000","0.00614","13.94405"
"4.70000","0.00627","14.23573"
"4.80000","0.00640","14.45975"
"4.90000","0.00654","14.78013"
"5.00000","0.00666","15.01373"
"5.10000","0.00681","15.30054"
"5.20000","0.00692","15.54988"
"5.30000","0.00707","15.80294"
"5.40000","0.00721","16.15136"
"5.50000","0.00732","16.35527"
"5.60000","0.00748","16.66517"
"5.70000","0.00760","16.90859"
"5.80000","0.00774","17.17556"
"5.90000","0.00787","17.46625"
"6.00000","0.00800","17.70139"
"6.10000","0.00814","17.99206"
"6.20000","0.00826","18.21821"
"6.30000","0.00842","18.51683"
"6.40000","0.00853","18.80365"
"6.50000","0.00867","19.02428"
"6.60000","0.00881","19.33281"
"6.70000","0.00892","19.54045"
"6.80000","0.00908","19.83975"
"6.90000","0.00920","20.07636"
"7.00000","0.00934","20.33629"
"7.10000","0.00946","20.59856"
"7.20000","0.00959","20.82307"
"7.30000","0.00975","21.16848"
"7.40000","0.00986","21.36485"
"7.50000","0.01001","21.64402"
"7.60000","0.01013","21.91633"
"7.70000","0.01027","22.13420"
"7.80000","0.01041","22.42878"
"7.90000","0.01053","22.64747"
"8.00000","0.01067","22.93206"
"8.10000","0.01079","23.15899"
"8.20000","0.01094","23.42729"
"8.30000","0.01108","23.71772"
"8.40000","0.01120","23.90173"
"8.50000","0.01135","24.20909"
"8.60000","0.01146","24.41212"
"8.70000","0.01161","24.68112"
"8.80000","0.01173","24.92404"
"8.90000","0.01187","25.16339"
"9.00000","0.01200","25.43852"
"9.10000","0.01212","25.64331"
"9.20000","0.01229","25.95073"
"9.30000","0.01240","26.18645"
"9.40000","0.01254","26.41621"
"9.50000","0.01268","26.70279"
"9.60000","0.01280","26.90047"
"9.70000","0.01294","27.18740"
"9.80000","0.01306","27.39771"
"9.90000","0.01321","27.65616"
"10.00000","0.01333","27.89243"
"10.10000","0.01347","28.12282"
"10.20000","0.01362","28.43269"
"10.30000","0.01373","28.60697"
"10.40000","0.01389","28.90132"
"10.50000","0.01400","29.12140"
"10.60000","0.01414","29.35105"
"10.70000","0.01427","29.62170"
"10.80000","0.01440","29.82900"
"10.90000","0.01454","30.10552"
"11.00000","0.01466","30.30212"
"11.10000","0.01481","30.56871"
"11.20000","0.01494","30.83098"
"11.30000","0.01507","31.03065"
"11.40000","0.01521","31.32825"
"11.50000","0.01533","31.49913"
"11.60000","0.01548","31.77407"
"11.70000","0.01560","31.99208"
"11.80000","0.01574","32.21938"
"11.90000","0.01586","32.46771"
"12.00000","0.01600","32.67935"
"12.10000","0.01615","32.98559"
"12.20000","0.01626","33.17182"
"12.30000","0.01641","33.42642"
"12.40000","0.01653","33.66132"
"12.50000","0.01667","33.86799"
"12.60000","0.01681","34.14652"
"12.70000","0.01693","34.34107"
"12.80000","0.01707","34.59880"
"12.90000","0.01719","34.80069"
"13.00000","0.01734","35.04072"
"13.10000","0.01748","35.33508"
"13.20000","0.01760","35.50419"
"13.30000","0.01775","35.79278"
"13.40000","0.01786","35.97979"
"13.50000","0.01801","36.22385"
"13.60000","0.01813","36.45221"
"13.70000","0.01826","36.64897"
"13.80000","0.01840","36.92192"
"13.90000","0.01852","37.10214"
"14.00000","0.01869","37.39330"
"14.10000","0.01880","37.60498"
"14.20000","0.01894","37.81380"
"14.30000","0.01907","38.08096"
"14.40000","0.01920","38.25732"
"14.50000","0.01934","38.53832"
"14.60000","0.01946","38.73161"
"14.70000","0.01960","38.95804"
"14.80000","0.01972","39.17380"
"14.90000","0.01986","39.37911"
"15.00000","0.02002","39.67130"
"15.10000","0.02013","39.84767"
"15.20000","0.02028","40.10161"
"15.30000","0.02040","40.31656"
"15.40000","0.02054","40.52809"
"15.50000","0.02067","40.78320"
"15.60000","0.02079","40.96401"
"15.70000","0.02094","41.21871"
"15.80000","0.02106","41.39690"
"15.90000","0.02121","41.65679"
"16.00000","0.02134","41.89410"
"16.10000","0.02147","42.07048"
"16.20000","0.02161","42.34320"
"16.30000","0.02173","42.51103"
"16.40000","0.02188","42.76729"
"16.50000","0.02200","42.96815"
"16.60000","0.02213","43.17894"
"16.70000","0.02226","43.40998"
"16.80000","0.02239","43.58434"
"16.90000","0.02255","43.88189"
"17.00000","0.02267","44.05137"
"17.10000","0.02281","44.27670"
"17.20000","0.02293","44.50413"
"17.30000","0.02307","44.67784"
"17.40000","0.02321","44.94236"
"17.50000","0.02333","45.11459"
"17.60000","0.02348","45.36342"
"17.70000","0.02359","45.55466"
"17.80000","0.02373","45.75825"
"17.90000","0.02388","46.02768"
"18.00000","0.02400","46.19219"
"18.10000","0.02415","46.44480"
"18.20000","0.02426","46.62586"
"18.30000","0.02441","46.84702"
"18.40000","0.02453","47.07084"
"18.50000","0.02466","47.24699"
"18.60000","0.02480","47.49240"
"18.70000","0.02492","47.65595"
"18.80000","0.02509","47.93175"
"18.90000","0.02520","48.13170"
"19.00000","0.02534","48.32192"
"19.10000","0.02548","48.56942"
"19.20000","0.02559","48.72979"
"19.30000","0.02574","48.97674"
"19.40000","0.02586","49.16346"
"19.50000","0.02600","49.37767"
