Material,Acrylic
Geometry,Circular
Length,"2.00000",in
Diameter,"0.11700",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00001","-3.87334"
"0.10000","0.00009","-3.84706"
"0.20000","0.00026","-3.61505"
"0.30000","0.00041","-3.38605"
"0.40000","0.00053","-3.21789"
"0.50000","0.00068","-3.04165"
"0.60000","0.00082","-2.83016"
"0.70000","0.00093","-2.68306"
"0.80000","0.00109","-2.48376"
"0.90000","0.00120","-2.31979"
"1.00000","0.00135","-2.15254"
"1.10000","0.00148","-1.96548"
"1.20000","0.00160","-1.81323"
"1.30000","0.00174","-1.63159"
"1.40000","0.00186","-1.48939"
"1.50000","0.00202","-1.29616"
"1.60000","0.00214","-1.13243"
"1.70000","0.00228","-0.98014"
"1.80000","0.00242","-0.78767"
"1.90000","0.00253","-0.65707"
"2.00000","0.00269","-0.47064"
"2.10000","0.00280","-0.31971"
"2.20000","0.00294","-0.16084"
"2.30000","0.00307","0.00946"
"2.40000","0.00320","0.14814"
"2.50000","0.00336","0.35341"
"2.60000","0.00347","0.48980"
"2.70000","0.00362","0.66001"
"2.80000","0.00374","0.81456"
"2.90000","0.00388","0.96742"
"3.00000","0.00401","1.15075"
"3.10000","0.00413","1.28312"
"3.20000","0.00428","1.45299"
"3.30000","0.00439","1.58890"
"3.40000","0.00455","1.75948"
"3.50000","0.00468","1.93244"
"3.60000","0.00480","2.06107"
"3.70000","0.00495","2.24561"
"3.80000","0.00507","2.37914"
"3.90000","0.00522","2.54624"
"4.00000","0.00534","2.70214"
"4.10000","0.00547","2.84784"
"4.20000","0.00561","3.00920"
"4.30000","0.00573","3.13371"
"4.40000","0.00589","3.32479"
"4.50000","0.00600","3.45998"
"4.60000","0.00615","3.60825"
"4.70000","0.00628","3.77529"
"4.80000","0.00641","3.90499"
"4.90000","0.00655","4.07287"
"5.00000","0.00667","4.19526"
"5.10000","0.00681","4.34571"
"5.20000","0.00693","4.49281"
"5.30000","0.00708","4.62833"
"5.40000","0.00722","4.81863"
"5.50000","0.00733","4.93269"
"5.60000","0.00749","5.10866"
"5.70000","0.00760","5.23487"
"5.80000","0.00775","5.38035"
"5.90000","0.00788","5.52906"
"6.00000","0.00800","5.66972"
"6.10000","0.00814","5.82332"
"6.20000","0.00826","5.94240"
"6.30000","0.00842","6.11292"
"6.40000","0.00854","6.26596"
"6.50000","0.00868","6.38722"
"6.60000","0.00881","6.55783"
"6.70000","0.00893","6.66887"
"6.80000","0.00909","6.83743"
"6.90000","0.00920","6.95661"
"7.00000","0.00934","7.10364"
"7.10000","0.00947","7.24346"
"7.20000","0.00960","7.35570"
"7.30000","0.00976","7.53463"
"7.40000","0.00987","7.64651"
"7.50000","0.01002","7.79766"
"7.60000","0.01014","7.93229"
"7.70000","0.01028","8.05238"
"7.80000","0.01041","8.21500"
"7.90000","0.01053","8.32814"
"8.00000","0.01068","8.47760"
"8.10000","0.01080","8.59721"
"8.20000","0.01095","8.74214"
"8.30000","0.01108","8.89626"
"8.40000","0.01120","9.00309"
"8.50000","0.01135","9.15997"
"8.60000","0.01147","9.27093"
"8.70000","0.01162","9.42586"
"8.80000","0.01174","9.55523"
"8.90000","0.01188","9.67323"
"9.00000","0.01201","9.81585"
"9.10000","0.01213","9.92861"
"9.20000","0.01229","10.09075"
"9.30000","0.01240","10.20706"
"9.40000","0.01255","10.33253"
"9.50000","0.01268","10.48034"
"9.60000","0.01281","10.58219"
"9.70000","0.01295","10.75212"
"9.80000","0.01307","10.85392"
"9.90000","0.01321","10.99929"
"10.00000","0.01333","11.11468"
"10.10000","0.01348","11.24672"
"10.20000","0.01362","11.40573"
"10.30000","0.01373","11.49146"
"10.40000","0.01389","11.64638"
"10.50000","0.01400","11.76016"
"10.60000","0.01415","11.87776"
"10.70000","0.01428","12.02192"
"10.80000","0.01440","12.12620"
"10.90000","0.01454","12.26344"
"11.00000","0.01466","12.37023"
"11.10000","0.01482","12.51070"
"11.20000","0.01494","12.65143"
"11.30000","0.01508","12.75706"
"11.40000","0.01522","12.91038"
"11.50000","0.01533","13.00755"
"11.60000","0.01549","13.15419"
"11.70000","0.01560","13.24684"
"11.80000","0.01574","13.37370"
"11.90000","0.01587","13.50760"
"12.00000","0.01600","13.61365"
"12.10000","0.01616","13.77281"
"12.20000","0.01627","13.86267"
"12.30000","0.01642","13.99208"
"12.40000","0.01654","14.11364"
"12.50000","0.01668","14.22644"
"12.60000","0.01681","14.35829"
"12.70000","0.01694","14.45748"
"12.80000","0.01708","14.58247"
"12.90000","0.01720","14.68131"
"13.00000","0.01735","14.80693"
"13.10000","0.01748","14.94779"
"13.20000","0.01760","15.03225"
"13.30000","0.01775","15.18563"
"13.40000","0.01787","15.27951"
"13.50000","0.01802","15.40694"
"13.60000","0.01814","15.51399"
"13.70000","0.01827","15.62509"
"13.80000","0.01841","15.74385"
"13.90000","0.01853","15.84553"
"14.00000","0.01869","15.98952"
"14.10000","0.01881","16.09258"
"14.20000","0.01894","16.20765"
"14.30000","0.01908","16.33536"
"14.40000","0.01920","16.41278"
"14.50000","0.01935","16.55497"
"14.60000","0.01947","16.64505"
"14.70000","0.01961","16.76679"
"14.80000","0.01973","16.86712"
