Material,Steel
Geometry,Circular
Length,"2.00000",in
Diameter,"0.24400",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00001","-6.11253"
"0.10000","0.00002","-6.10844"
"0.20000","0.00006","-5.41427"
"0.30000","0.00010","-4.02340"
"0.40000","0.00013","-3.04152"
"0.50000","0.00017","-2.10702"
"0.60000","0.00020","-1.14812"
"0.70000","0.00024","-0.16342"
"0.80000","0.00027","0.87472"
"0.90000","0.00031","1.91724"
"1.00000","0.00035","2.96115"
"1.10000","0.00038","3.92291"
"1.20000","0.00041","4.85190"
"1.30000","0.00044","5.77093"
"1.40000","0.00047","6.67030"
"1.50000","0.00050","7.54388"
"1.60000","0.00054","8.45811"
"1.70000","0.00057","9.42273"
"1.80000","0.00061","10.37574"
"1.90000","0.00064","11.32767"
"2.00000","0.00067","12.24631"
"2.10000","0.00071","13.14469"
"2.20000","0.00074","14.07179"
"2.30000","0.00077","14.91875"
"2.40000","0.00080","15.92695"
"2.50000","0.00084","16.87610"
"2.60000","0.00087","17.85181"
"2.70000","0.00091","18.78778"
"2.80000","0.00094","19.77340"
"2.90000","0.00098","20.77394"
"3.00000","0.00101","21.70305"
"3.10000","0.00104","22.57684"
"3.20000","0.00107","23.42449"
"3.30000","0.00110","24.19492"
"3.40000","0.00114","25.01370"
"3.50000","0.00117","25.88914"
"3.60000","0.00121","26.80727"
"3.70000","0.00124","27.81580"
"3.80000","0.00128","28.77055"
"3.90000","0.00131","29.62332"
"4.00000","0.00134","30.47602"
"4.10000","0.00137","31.25928"
"4.20000","0.00140","32.03835"
"4.30000","0.00144","32.83647"
"4.40000","0.00147","33.69914"
"4.50000","0.00150","34.64396"
"4.60000","0.00154","35.60317"
"4.70000","0.00158","36.57715"
"4.80000","0.00161","37.52115"
"4.90000","0.00164","38.30737"
"5.00000","0.00168","39.16051"
"5.10000","0.00171","39.95776"
"5.20000","0.00174","40.76607"
"5.30000","0.00177","41.56340"
"5.40000","0.00181","42.33210"
"5.50000","0.00184","43.10246"
"5.60000","0.00187","43.96396"
"5.70000","0.00191","44.81478"
"5.80000","0.00194","45.64673"
"5.90000","0.00197","46.43576"
"6.00000","0.00200","47.23253"
"6.10000","0.00204","47.98754"
"6.20000","0.00207","48.72451"
"6.30000","0.00210","49.60969"
"6.40000","0.00214","50.44517"
"6.50000","0.00217","51.24877"
"6.60000","0.00221","52.09955"
"6.70000","0.00225","52.96079"
"6.80000","0.00228","53.66954"
"6.90000","0.00231","54.39400"
"7.00000","0.00234","55.12478"
"7.10000","0.00237","55.75778"
"7.20000","0.00240","56.43593"
"7.30000","0.00244","57.28509"
"7.40000","0.00247","58.02675"
"7.50000","0.00251","58.83454"
"7.60000","0.00254","59.67207"
"7.70000","0.00258","60.33224"
"7.80000","0.00261","60.98856"
"7.90000","0.00264","61.63454"
"8.00000","0.00267","62.23917"
"8.10000","0.00270","62.83020"
"8.20000","0.00273","63.48703"
"8.30000","0.00277","64.18492"
"8.40000","0.00281","64.94414"
"8.50000","0.00284","65.66790"
"8.60000","0.00288","66.47192"
"8.70000","0.00291","67.03734"
"8.80000","0.00294","67.66244"
"8.90000","0.00298","68.21693"
"9.00000","0.00301","68.77452"
"9.10000","0.00304","69.36475"
"9.20000","0.00307","69.89744"
"9.30000","0.00310","70.41603"
"9.40000","0.00314","70.99536"
"9.50000","0.00317","71.59406"
"9.60000","0.00321","72.15372"
"9.70000","0.00324","72.69005"
"9.80000","0.00327","73.23735"
"9.90000","0.00330","73.75735"
"10.00000","0.00334","74.23710"
"10.10000","0.00337","74.74494"
"10.20000","0.00341","75.27779"
"10.30000","0.00344","75.84315"
"10.40000","0.00348","76.40102"
"10.50000","0.00351","76.95340"
"10.60000","0.00354","77.36891"
"10.70000","0.00358","77.78151"
"10.80000","0.00361","78.22404"
"10.90000","0.00364","78.60591"
"11.00000","0.00367","78.95069"
"11.10000","0.00370","79.33449"
"11.20000","0.00374","79.80295"
"11.30000","0.00377","80.32949"
"11.40000","0.00381","80.83147"
"11.50000","0.00385","81.20793"
"11.60000","0.00388","81.57378"
"11.70000","0.00391","81.93102"
"11.80000","0.00394","82.22928"
"11.90000","0.00397","82.48620"
"12.00000","0.00400","82.82835"
"12.10000","0.00403","83.21388"
"12.20000","0.00407","83.65616"
"12.30000","0.00411","84.11570"
"12.40000","0.00414","84.57164"
"12.50000","0.00418","84.90814"
"12.60000","0.00421","85.18427"
"12.70000","0.00425","85.47087"
"12.80000","0.00428","85.76690"
"12.90000","0.00431","86.04308"
"13.00000","0.00434","86.31682"
"13.10000","0.00437","86.56035"
"13.20000","0.00440","86.89038"
"13.30000","0.00444","87.23191"
"13.40000","0.00447","87.53168"
"13.50000","0.00451","87.84987"
"13.60000","0.00454","88.16795"
"13.70000","0.00457","88.42504"
"13.80000","0.00461","88.64504"
"13.90000","0.00464","88.85421"
"14.00000","0.00467","89.11082"
"14.10000","0.00471","89.41371"
"14.20000","0.00474","89.68118"
"14.30000","0.00478","90.01961"
"14.40000","0.00481","90.36515"
"14.50000","0.00484","90.53956"
"14.60000","0.00488","90.74431"
"14.70000","0.00491","90.92361"
"14.80000","0.00494","91.06258"
"14.90000","0.00497","91.20737"
"15.00000","0.00501","91.53573"
"15.10000","0.00504","91.79233"
"15.20000","0.00508","92.10687"
"15.30000","0.00511","92.40860"
"15.40000","0.00514","92.50763"
"15.50000","0.00518","92.67279"
"15.60000","0.00521","92.84731"
"15.70000","0.00524","92.93822"
"15.80000","0.00527","93.06164"
"15.90000","0.00530","93.27262"
"16.00000","0.00533","93.51713"
"16.10000","0.00537","93.83192"
"16.20000","0.00541","94.10899"
"16.30000","0.00545","94.39489"
"16.40000","0.00548","94.53652"
"16.50000","0.00551","94.68844"
"16.60000","0.00554","94.82265"
"16.70000","0.00558","94.96701"
"16.80000","0.00561","95.09610"
"16.90000","0.00564","95.22700"
"17.00000","0.00567","95.38661"
"17.10000","0.00570","95.58675"
"17.20000","0.00574","95.79971"
"17.30000","0.00577","96.00297"
"17.40000","0.00581","96.19626"
"17.50000","0.00584","96.33373"
"17.60000","0.00587","96.44386"
"17.70000","0.00590","96.53429"
"17.80000","0.00594","96.72818"
"17.90000","0.00597","96.94859"
"18.00000","0.00601","97.15225"
"18.10000","0.00604","97.37148"
"18.20000","0.00608","97.59725"
"18.30000","0.00611","97.71923"
"18.40000","0.00614","97.84248"
"18.50000","0.00617","97.95165"
"18.60000","0.00621","98.05984"
"18.70000","0.00624","98.13191"
"18.80000","0.00627","98.27338"
"18.90000","0.00631","98.49324"
"19.00000","0.00634","98.69394"
"19.10000","0.00638","98.94009"
"19.20000","0.00641","99.09967"
"19.30000","0.00644","99.16615"
"19.40000","0.00648","99.26288"
"19.50000","0.00650","99.32811"
"19.60000","0.00653","99.35591"
"19.70000","0.00657","99.46999"
"19.80000","0.00660","99.64419"
"19.90000","0.00664","99.87868"
"20.00000","0.00668","100.09290"
"20.10000","0.00671","100.31311"
"20.20000","0.00675","100.47270"
"20.30000","0.00678","100.52272"
"20.40000","0.00681","100.64222"
"20.50000","0.00684","100.72163"
"20.60000","0.00688","100.82186"
"20.70000","0.00691","100.88080"
"20.80000","0.00694","100.96538"
"20.90000","0.00697","101.06257"
"21.00000","0.00701","101.23263"
"21.10000","0.00704","101.39637"
"21.20000","0.00708","101.55998"
"21.30000","0.00711","101.65605"
"21.40000","0.00714","101.73003"
"21.50000","0.00717","101.76778"
"21.60000","0.00720","101.87484"
