Material,Acrylic
Geometry,Circular
Length,"2.00000",in
Diameter,"0.25500",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","6.93853"
"0.10000","0.00004","7.06939"
"0.19300","0.00023","12.70957"
"0.28500","0.00039","18.37677"
"0.38500","0.00052","23.33798"
"0.48500","0.00065","27.59322"
"0.58500","0.00077","32.04530"
"0.68500","0.00091","36.28120"
"0.78500","0.00106","41.02748"
"0.88500","0.00118","44.88034"
"0.98500","0.00133","49.70548"
"1.08500","0.00144","53.74427"
"1.18500","0.00158","57.77952"
"1.28500","0.00173","63.27333"
"1.38500","0.00185","67.02640"
"1.48500","0.00198","71.43493"
"1.58500","0.00211","75.59745"
"1.68500","0.00226","80.34852"
"1.78500","0.00238","84.80181"
"1.88500","0.00252","88.83044"
"1.98500","0.00266","93.70512"
"2.08500","0.00277","97.11060"
"2.18500","0.00293","101.86036"
"2.28500","0.00306","106.41992"
"2.38500","0.00318","110.09511"
"2.48500","0.00331","114.27903"
"2.58500","0.00345","118.15364"
"2.68500","0.00359","122.88316"
"2.78500","0.00371","126.57942"
"2.88500","0.00386","130.82569"
"2.98500","0.00398","134.94014"
"3.08500","0.00410","138.12404"
"3.18500","0.00427","143.21142"
"3.28500","0.00438","146.62786"
"3.38500","0.00452","150.44467"
"3.48500","0.00465","154.23997"
"3.58500","0.00478","157.97513"
"3.68500","0.00492","162.24158"
"3.78500","0.00505","165.40086"
"3.88500","0.00520","169.93931"
"3.98500","0.00530","172.85775"
"4.08500","0.00545","176.46190"
"4.18500","0.00559","180.88477"
"4.28500","0.00571","183.80940"
"4.38500","0.00585","187.45685"
"4.48500","0.00597","190.58543"
"4.58500","0.00613","194.53542"
"4.68500","0.00625","197.85698"
"4.78500","0.00639","201.05311"
"4.88500","0.00652","204.79381"
"4.98500","0.00663","207.13845"
"5.08500","0.00680","211.22396"
"5.18500","0.00692","214.39215"
"5.28500","0.00705","217.19477"
"5.38500","0.00718","220.41662"
"5.48500","0.00731","223.18209"
"5.58500","0.00746","226.93963"
"5.68500","0.00758","229.37761"
"5.78500","0.00773","232.96607"
"5.88500","0.00784","235.41858"
"5.98500","0.00798","237.94408"
"6.08500","0.00813","241.89116"
"6.18500","0.00825","244.06000"
"6.28500","0.00839","246.79934"
"6.38500","0.00851","249.31310"
"6.48500","0.00866","252.26443"
"6.58500","0.00879","255.25530"
"6.68500","0.00892","257.48344"
"6.78500","0.00906","260.61512"
"6.88500","0.00917","262.21170"
"6.98500","0.00933","265.36443"
"7.08500","0.00946","268.10800"
"7.18500","0.00958","270.04966"
"7.28500","0.00972","272.52662"
"7.38500","0.00984","274.45533"
"7.48500","0.00999","277.43405"
"7.58500","0.01011","279.31793"
"7.68500","0.01026","281.66294"
"7.78500","0.01038","283.82821"
"7.88500","0.01050","285.35475"
"7.98500","0.01067","288.45210"
"8.08500","0.01078","289.94701"
"8.18500","0.01092","291.90182"
"8.28500","0.01104","293.77990"
"8.38500","0.01119","295.76383"
"8.48500","0.01132","298.12891"
"8.58500","0.01145","299.54455"
"8.68500","0.01159","301.73112"
"8.78500","0.01170","302.95209"
"8.88500","0.01186","304.81884"
"8.98500","0.01200","307.30266"
"9.08500","0.01211","308.25088"
"9.18500","0.01225","310.21842"
"9.28500","0.01237","311.51275"
"9.38500","0.01253","313.65318"
"9.48500","0.01265","315.12846"
"9.58500","0.01279","316.54139"
"9.68500","0.01292","318.49250"
"9.78500","0.01304","319.21325"
"9.88500","0.01320","321.59207"
"9.98500","0.01332","322.95808"
"10.08500","0.01345","324.12845"
"10.18500","0.01358","325.79272"
"10.28500","0.01371","326.95587"
"10.38500","0.01386","329.06950"
"10.48500","0.01398","330.05185"
"10.58500","0.01413","331.71528"
"10.68500","0.01424","332.86265"
"10.78500","0.01438","333.95651"
"10.88500","0.01453","336.22364"
"10.98500","0.01465","336.89261"
"11.08500","0.01479","338.46070"
"11.18500","0.01491","339.47794"
"11.28500","0.01506","341.11417"
"11.38500","0.01519","342.48078"
"11.48500","0.01532","343.34810"
"11.58500","0.01546","344.97056"
"11.68500","0.01557","345.45939"
"11.78500","0.01573","347.26596"
"11.88500","0.01586","348.78654"
"11.98500","0.01598","349.46292"
"12.08500","0.01612","350.91177"
"12.18500","0.01625","351.61021"
"12.28500","0.01640","353.43871"
"12.38500","0.01652","354.11854"
"12.48500","0.01666","355.14448"
"12.58500","0.01678","355.81265"
"12.68500","0.01690","356.03630"
"12.78500","0.01707","357.83162"
"12.88500","0.01718","358.05706"
"12.98500","0.01732","358.64307"
"13.08500","0.01745","359.29891"
"13.18500","0.01759","359.91758"
"13.28500","0.01772","361.04942"
"13.38500","0.01785","361.27047"
"13.48500","0.01799","362.42102"
"13.58500","0.01811","362.56361"
"13.68500","0.01826","363.40373"
"13.78500","0.01839","364.64260"
"13.88500","0.01851","364.85111"
"13.98500","0.01866","365.84853"
"14.08500","0.01877","366.16876"
"14.18500","0.01893","367.58081"
"14.28500","0.01905","368.17055"
"14.38500","0.01919","368.85069"
"14.48500","0.01932","369.76087"
"14.58500","0.01944","369.85308"
