Material,Acrylic
Geometry,Circular
Length,"2.00000",in
Diameter,"0.25300",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","1.09192"
"0.10000","0.00003","1.18651"
"0.20000","0.00022","5.09662"
"0.28700","0.00037","10.72355"
"0.38700","0.00052","14.81333"
"0.48700","0.00065","19.09108"
"0.58700","0.00078","22.58031"
"0.68700","0.00093","26.83588"
"0.78700","0.00104","29.59472"
"0.82600","0.00109","23.72884"
"0.92600","0.00125","23.27879"
"1.02600","0.00137","26.91802"
"1.12600","0.00150","30.42645"
"1.22600","0.00163","34.06862"
"1.32600","0.00176","37.43967"
"1.42600","0.00191","41.47766"
"1.52600","0.00203","44.51267"
"1.62600","0.00218","48.28116"
"1.72600","0.00229","51.36208"
"1.82600","0.00243","54.39615"
"1.92600","0.00258","58.57234"
"2.02600","0.00270","61.30558"
"2.12600","0.00284","64.58093"
"2.22600","0.00296","67.48584"
"2.32600","0.00311","70.81821"
"2.42600","0.00323","74.01351"
"2.52600","0.00337","76.86506"
"2.62600","0.00351","80.21194"
"2.72600","0.00362","82.46355"
"2.82600","0.00378","85.77909"
"2.92600","0.00391","88.86731"
"3.02600","0.00403","91.31099"
"3.12600","0.00417","94.12285"
"3.22600","0.00429","96.48753"
"3.32600","0.00444","99.72476"
"3.42600","0.00456","102.02782"
"3.52600","0.00471","104.80699"
"3.62600","0.00483","107.22338"
"3.72600","0.00496","109.19454"
"3.82600","0.00512","112.54270"
"3.92600","0.00524","114.54491"
"4.02600","0.00537","116.67067"
"4.12600","0.00550","118.50227"
"4.22600","0.00564","120.88131"
"4.32600","0.00577","123.54768"
"4.42600","0.00590","125.35189"
"4.52600","0.00605","127.92731"
"4.62600","0.00616","129.44008"
"4.72600","0.00631","131.50824"
"4.82600","0.00645","134.00342"
"4.92600","0.00656","135.30977"
"5.02600","0.00670","137.32195"
"5.12600","0.00683","138.75241"
"5.22600","0.00698","140.92882"
"5.32600","0.00710","142.47722"
"5.42600","0.00724","143.98552"
"5.52600","0.00737","145.63550"
"5.62600","0.00749","146.52340"
"5.72600","0.00765","148.76828"
"5.82600","0.00777","150.02408"
"5.92600","0.00790","151.13492"
"6.02600","0.00803","152.57566"
"6.12600","0.00816","153.64557"
"6.22600","0.00831","155.43615"
"6.32600","0.00843","156.21598"
"6.42600","0.00858","157.75623"
"6.52600","0.00869","158.57960"
"6.62600","0.00883","159.47771"
"6.72600","0.00898","161.38155"
"6.82600","0.00910","161.82627"
"6.92600","0.00924","162.99949"
"7.02600","0.00936","163.87694"
"7.12600","0.00951","165.07425"
"7.22600","0.00964","166.15166"
"7.32600","0.00977","166.88963"
"7.42600","0.00991","168.14028"
"7.52600","0.01002","168.35400"
"7.62600","0.01018","169.81120"
"7.72600","0.01031","170.79659"
"7.82600","0.01043","171.33029"
"7.92600","0.01057","172.40401"
"8.02600","0.01070","172.95907"
"8.12600","0.01085","174.21532"
"8.22600","0.01097","174.49783"
"8.32600","0.01111","175.13263"
"8.42600","0.01123","175.55158"
"8.52600","0.01136","175.59735"
"8.62600","0.01152","176.82538"
"8.72600","0.01163","176.70361"
"8.82600","0.01177","177.19551"
"8.92600","0.01190","177.55114"
"9.02600","0.01204","178.03123"
"9.12600","0.01217","178.72504"
"9.22600","0.01231","178.85387"
"9.32600","0.01245","179.56775"
"9.42600","0.01255","179.54430"
"9.52600","0.01271","180.21558"
"9.62600","0.01285","181.16221"
"9.72600","0.01296","181.08086"
"9.82600","0.01311","181.73264"
"9.92600","0.01322","181.88806"
"10.02600","0.01338","182.81345"
"10.12600","0.01350","183.09608"
"10.22600","0.01364","183.55819"
"10.32600","0.01377","184.16801"
"10.42600","0.01389","184.14499"
"10.52600","0.01405","185.22753"
"10.62600","0.01417","185.51283"
"10.72600","0.01430","185.85294"
"10.82600","0.01443","186.36993"
"10.92600","0.01457","186.71543"
"11.02600","0.01471","187.64399"
"11.12600","0.01484","187.71645"
"11.22600","0.01498","188.43259"
"11.32600","0.01509","188.57321"
"11.42600","0.01523","188.91205"
"11.52600","0.01538","190.06928"
"11.62600","0.01550","189.97288"
"11.72600","0.01564","190.51264"
"11.82600","0.01576","190.73167"
"11.92600","0.01591","191.45674"
"12.02600","0.01604","191.91374"
"12.12600","0.01617","192.08067"
"12.22600","0.01631","192.74300"
"12.32600","0.01642","192.59984"
"12.42600","0.01658","193.40221"
"12.52600","0.01671","193.94331"
"12.62600","0.01683","193.94672"
"12.72600","0.01697","194.59600"
"12.82600","0.01710","194.67694"
"12.92600","0.01725","195.56686"
"13.02600","0.01737","195.54978"
"13.12600","0.01751","196.07725"
"13.22600","0.01763","196.37525"
"13.32600","0.01776","196.33056"
"13.42600","0.01792","197.41919"
"13.52600","0.01804","197.37256"
"13.62600","0.01817","197.70337"
"13.72600","0.01829","197.95404"
"13.82600","0.01844","198.42915"
"13.92600","0.01858","198.97002"
"14.02600","0.01870","198.92778"
"14.12600","0.01885","199.76470"
"14.22600","0.01896","199.49115"
"14.32600","0.01910","199.91792"
"14.42600","0.01924","200.76760"
"14.52600","0.01937","200.66916"
"14.62600","0.01950","201.12525"
"14.72600","0.01963","201.23774"
