Material,Acrylic
Geometry,Circular
Length,"2.00000",in
Diameter,"0.11700",in

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.00000","-2.29783"
"0.10000","0.00003","-2.28802"
"0.20000","0.00020","-2.12802"
"0.30000","0.00041","-1.88061"
"0.40000","0.00053","-1.71282"
"0.50000","0.00067","-1.55287"
"0.60000","0.00079","-1.40320"
"0.70000","0.00093","-1.24218"
"0.80000","0.00107","-1.06092"
"0.90000","0.00120","-0.91666"
"1.00000","0.00134","-0.75070"
"1.10000","0.00146","-0.60630"
"1.20000","0.00160","-0.45024"
"1.30000","0.00174","-0.26861"
"1.40000","0.00187","-0.14538"
"1.50000","0.00200","0.01381"
"1.60000","0.00212","0.14569"
"1.70000","0.00228","0.31555"
"1.80000","0.00240","0.47498"
"1.90000","0.00254","0.62571"
"2.00000","0.00267","0.78221"
"2.10000","0.00279","0.88925"
"2.20000","0.00295","1.07543"
"2.30000","0.00307","1.22126"
"2.40000","0.00320","1.35082"
"2.50000","0.00333","1.50606"
"2.60000","0.00346","1.63981"
"2.70000","0.00361","1.79827"
"2.80000","0.00373","1.93329"
"2.90000","0.00388","2.10407"
"3.00000","0.00399","2.23465"
"3.10000","0.00413","2.36195"
"3.20000","0.00429","2.54641"
"3.30000","0.00440","2.67652"
"3.40000","0.00453","2.83233"
"3.50000","0.00466","2.98503"
"3.60000","0.00480","3.13096"
"3.70000","0.00493","3.28348"
"3.80000","0.00507","3.40516"
"3.90000","0.00521","3.57995"
"4.00000","0.00532","3.69710"
"4.10000","0.00548","3.83761"
"4.20000","0.00561","3.99222"
"4.30000","0.00573","4.12932"
"4.40000","0.00587","4.26272"
"4.50000","0.00599","4.38665"
"4.60000","0.00614","4.55944"
"4.70000","0.00627","4.68677"
"4.80000","0.00641","4.83532"
"4.90000","0.00653","4.97922"
"5.00000","0.00665","5.08187"
"5.10000","0.00682","5.24755"
"5.20000","0.00693","5.38403"
"5.30000","0.00707","5.52160"
"5.40000","0.00720","5.64392"
"5.50000","0.00733","5.77829"
"5.60000","0.00747","5.94198"
"5.70000","0.00760","6.05082"
"5.80000","0.00775","6.21588"
"5.90000","0.00786","6.33861"
"6.00000","0.00800","6.47105"
"6.10000","0.00815","6.64642"
"6.20000","0.00827","6.76094"
"6.30000","0.00840","6.90169"
"6.40000","0.00852","7.00721"
"6.50000","0.00868","7.15915"
"6.60000","0.00880","7.30894"
"6.70000","0.00894","7.43088"
"6.80000","0.00907","7.57541"
"6.90000","0.00919","7.67524"
"7.00000","0.00935","7.83290"
"7.10000","0.00947","7.97447"
"7.20000","0.00960","8.09840"
"7.30000","0.00973","8.23925"
"7.40000","0.00986","8.35450"
"7.50000","0.01001","8.50565"
"7.60000","0.01013","8.61299"
"7.70000","0.01028","8.76641"
"7.80000","0.01039","8.89092"
"7.90000","0.01053","9.00011"
"8.00000","0.01069","9.15057"
"8.10000","0.01080","9.26510"
"8.20000","0.01093","9.39922"
"8.30000","0.01106","9.51440"
"8.40000","0.01121","9.65362"
"8.50000","0.01134","9.80032"
"8.60000","0.01147","9.91885"
"8.70000","0.01161","10.05649"
"8.80000","0.01172","10.14915"
"8.90000","0.01188","10.30003"
"9.00000","0.01201","10.43659"
"9.10000","0.01213","10.53962"
"9.20000","0.01227","10.67498"
"9.30000","0.01239","10.78572"
"9.40000","0.01254","10.93871"
"9.50000","0.01267","11.05584"
"9.60000","0.01281","11.18378"
"9.70000","0.01293","11.31221"
"9.80000","0.01305","11.39784"
"9.90000","0.01322","11.56274"
"10.00000","0.01333","11.66612"
"10.10000","0.01347","11.78515"
"10.20000","0.01360","11.90203"
"10.30000","0.01373","12.01766"
"10.40000","0.01388","12.14011"
"10.50000","0.01400","12.25285"
"10.60000","0.01415","12.39211"
"10.70000","0.01426","12.49078"
"10.80000","0.01440","12.61184"
"10.90000","0.01454","12.75407"
"11.00000","0.01466","12.86461"
"11.10000","0.01481","12.99435"
"11.20000","0.01493","13.09626"
"11.30000","0.01508","13.24419"
"11.40000","0.01520","13.35321"
"11.50000","0.01533","13.45816"
"11.60000","0.01547","13.58504"
"11.70000","0.01559","13.67006"
"11.80000","0.01575","13.80887"
"11.90000","0.01587","13.92509"
"12.00000","0.01600","14.03270"
"12.10000","0.01613","14.16524"
"12.20000","0.01627","14.25699"
"12.30000","0.01641","14.39032"
"12.40000","0.01653","14.50346"
"12.50000","0.01668","14.62712"
"12.60000","0.01679","14.71681"
"12.70000","0.01693","14.81047"
"12.80000","0.01709","14.98017"
"12.90000","0.01720","15.07176"
"13.00000","0.01734","15.18638"
"13.10000","0.01746","15.29222"
"13.20000","0.01761","15.40594"
"13.30000","0.01774","15.53167"
"13.40000","0.01787","15.62473"
"13.50000","0.01801","15.75065"
"13.60000","0.01812","15.83376"
"13.70000","0.01827","15.94676"
"13.80000","0.01841","16.07836"
"13.90000","0.01853","16.15737"
"14.00000","0.01867","16.28431"
"14.10000","0.01879","16.36992"
"14.20000","0.01894","16.51991"
"14.30000","0.01907","16.61102"
"14.40000","0.01921","16.72375"
"14.50000","0.01933","16.83350"
"14.60000","0.01946","16.92384"
"14.70000","0.01962","17.06541"
"14.80000","0.01973","17.16598"
"14.90000","0.01987","17.26291"
